# Assembly name:  Bos_taurus_UMD_3.1.1
# Organism name:  Bos taurus (cattle)
# Infraspecific name:  breed=Hereford
# Sex:  pooled male and female
# Taxid:          9913
# BioSample:      SAMN02898106
# BioProject:     PRJNA32899
# Submitter:      Center for Bioinformatics and Computational Biology, University of Maryland
# Date:           2014-11-25
# Assembly type:  haploid
# Release type:   
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    DAAA02
# Assembly method: UMD Overlapper v. 2009; additional processing
# Genome coverage: 9x
# Sequencing technology: Sanger
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000003055.5
# RefSeq assembly accession: GCF_000003055.6
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001245.5	GCF_000001245.5	Primary Assembly
## 	GCF_000001285.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Chr23	assembled-molecule	23	Chromosome	GK000023.2	=	AC_000180.1	Primary Assembly	52530062	na
Chr24	assembled-molecule	24	Chromosome	GK000024.2	=	AC_000181.1	Primary Assembly	62714930	na
Chr25	assembled-molecule	25	Chromosome	GK000025.2	=	AC_000182.1	Primary Assembly	42904170	na
Chr26	assembled-molecule	26	Chromosome	GK000026.2	=	AC_000183.1	Primary Assembly	51681464	na
Chr27	assembled-molecule	27	Chromosome	GK000027.2	=	AC_000184.1	Primary Assembly	45407902	na
Chr28	assembled-molecule	28	Chromosome	GK000028.2	=	AC_000185.1	Primary Assembly	46312546	na
Chr29	assembled-molecule	29	Chromosome	GK000029.2	=	AC_000186.1	Primary Assembly	51505224	na
ChrX	assembled-molecule	X	Chromosome	GK000030.2	=	AC_000187.1	Primary Assembly	148823899	na
ChrU_1	unplaced-scaffold	na	na	GJ057137.1	=	NW_003097882.1	Primary Assembly	1050	na
ChrU_1151	unplaced-scaffold	na	na	GJ057138.1	=	NW_003097883.1	Primary Assembly	1174	na
ChrU_2425	unplaced-scaffold	na	na	GJ057139.1	=	NW_003097884.1	Primary Assembly	1070	na
ChrU_3595	unplaced-scaffold	na	na	GJ057140.1	=	NW_003097885.1	Primary Assembly	1142	na
ChrU_4837	unplaced-scaffold	na	na	GJ057141.1	=	NW_003097886.1	Primary Assembly	1547	na
ChrU_6484	unplaced-scaffold	na	na	GJ057142.1	=	NW_003097887.1	Primary Assembly	1063	na
ChrU_7647	unplaced-scaffold	na	na	GJ057143.1	=	NW_003097888.1	Primary Assembly	1092	na
ChrU_8839	unplaced-scaffold	na	na	GJ057144.1	=	NW_003097889.1	Primary Assembly	1036	na
ChrU_9975	unplaced-scaffold	na	na	GJ057145.1	=	NW_003097890.1	Primary Assembly	1272	na
ChrU_11347	unplaced-scaffold	na	na	GJ057146.1	=	NW_003097891.1	Primary Assembly	1079	na
ChrU_12526	unplaced-scaffold	na	na	GJ057147.1	=	NW_003097892.1	Primary Assembly	1079	na
ChrU_13705	unplaced-scaffold	na	na	GJ057148.1	=	NW_003097893.1	Primary Assembly	1059	na
ChrU_14864	unplaced-scaffold	na	na	GJ057149.1	=	NW_003097894.1	Primary Assembly	1038	na
ChrU_16002	unplaced-scaffold	na	na	GJ057150.1	=	NW_003097895.1	Primary Assembly	1073	na
ChrU_17175	unplaced-scaffold	na	na	GJ057151.1	=	NW_003097896.1	Primary Assembly	1086	na
ChrU_18361	unplaced-scaffold	na	na	GJ057152.1	=	NW_003097897.1	Primary Assembly	1584	na
ChrU_20045	unplaced-scaffold	na	na	GJ057153.1	=	NW_003097898.1	Primary Assembly	1085	na
ChrU_21230	unplaced-scaffold	na	na	GJ057154.1	=	NW_003097899.1	Primary Assembly	1036	na
ChrU_22366	unplaced-scaffold	na	na	GJ057155.1	=	NW_003097900.1	Primary Assembly	1090	na
ChrU_23556	unplaced-scaffold	na	na	GJ057156.1	=	NW_003097901.1	Primary Assembly	1107	na
ChrU_24763	unplaced-scaffold	na	na	GJ057157.1	=	NW_003097902.1	Primary Assembly	1075	na
ChrU_25938	unplaced-scaffold	na	na	GJ057158.1	=	NW_003097903.1	Primary Assembly	1391	na
ChrU_27429	unplaced-scaffold	na	na	GJ057159.1	=	NW_003097904.1	Primary Assembly	1043	na
ChrU_28572	unplaced-scaffold	na	na	GJ057160.1	=	NW_003097905.1	Primary Assembly	1145	na
ChrU_29817	unplaced-scaffold	na	na	GJ057161.1	=	NW_003097906.1	Primary Assembly	1027	na
ChrU_30944	unplaced-scaffold	na	na	GJ057162.1	=	NW_003097907.1	Primary Assembly	1079	na
ChrU_32123	unplaced-scaffold	na	na	GJ057163.1	=	NW_003097908.1	Primary Assembly	1187	na
ChrU_33410	unplaced-scaffold	na	na	GJ057164.1	=	NW_003097909.1	Primary Assembly	1016	na
ChrU_34526	unplaced-scaffold	na	na	GJ057165.1	=	NW_003097910.1	Primary Assembly	1039	na
ChrU_35665	unplaced-scaffold	na	na	GJ057166.1	=	NW_003097911.1	Primary Assembly	1521	na
ChrU_37286	unplaced-scaffold	na	na	GJ057167.1	=	NW_003097912.1	Primary Assembly	3033	na
ChrU_40419	unplaced-scaffold	na	na	GJ057168.1	=	NW_003097913.1	Primary Assembly	1167	na
ChrU_41686	unplaced-scaffold	na	na	GJ057169.1	=	NW_003097914.1	Primary Assembly	1255	na
ChrU_43041	unplaced-scaffold	na	na	GJ057170.1	=	NW_003097915.1	Primary Assembly	1060	na
ChrU_44201	unplaced-scaffold	na	na	GJ057171.1	=	NW_003097916.1	Primary Assembly	4323	na
ChrU_48624	unplaced-scaffold	na	na	GJ057172.1	=	NW_003097917.1	Primary Assembly	1099	na
ChrU_49823	unplaced-scaffold	na	na	GJ057173.1	=	NW_003097918.1	Primary Assembly	1048	na
ChrU_50971	unplaced-scaffold	na	na	GJ057174.1	=	NW_003097919.1	Primary Assembly	1110	na
ChrU_52181	unplaced-scaffold	na	na	GJ057175.1	=	NW_003097920.1	Primary Assembly	1109	na
ChrU_53390	unplaced-scaffold	na	na	GJ057176.1	=	NW_003097921.1	Primary Assembly	1033	na
ChrU_66661	unplaced-scaffold	na	na	GJ057186.1	=	NW_003097931.1	Primary Assembly	1040	na
ChrU_74014	unplaced-scaffold	na	na	GJ057192.1	=	NW_003097937.1	Primary Assembly	1209	na
ChrU_75323	unplaced-scaffold	na	na	GJ057193.1	=	NW_003097938.1	Primary Assembly	1453	na
ChrU_76876	unplaced-scaffold	na	na	GJ057194.1	=	NW_003097939.1	Primary Assembly	1370	na
ChrU_80002	unplaced-scaffold	na	na	GJ057196.1	=	NW_003097941.1	Primary Assembly	1609	na
ChrU_88238	unplaced-scaffold	na	na	GJ057202.1	=	NW_003097947.1	Primary Assembly	1398	na
ChrU_89736	unplaced-scaffold	na	na	GJ057203.1	=	NW_003097948.1	Primary Assembly	1091	na
ChrU_92392	unplaced-scaffold	na	na	GJ057205.1	=	NW_003097950.1	Primary Assembly	1256	na
ChrU_93748	unplaced-scaffold	na	na	GJ057206.1	=	NW_003097951.1	Primary Assembly	1121	na
ChrU_94969	unplaced-scaffold	na	na	GJ057207.1	=	NW_003097952.1	Primary Assembly	1040	na
ChrU_96109	unplaced-scaffold	na	na	GJ057208.1	=	NW_003097953.1	Primary Assembly	1534	na
ChrU_97743	unplaced-scaffold	na	na	GJ057209.1	=	NW_003097954.1	Primary Assembly	4399	na
ChrU_102242	unplaced-scaffold	na	na	GJ057210.1	=	NW_003097955.1	Primary Assembly	1714	na
ChrU_104056	unplaced-scaffold	na	na	GJ057211.1	=	NW_003097956.1	Primary Assembly	1521	na
ChrU_105677	unplaced-scaffold	na	na	GJ057212.1	=	NW_003097957.1	Primary Assembly	1425	na
ChrU_108725	unplaced-scaffold	na	na	GJ057214.1	=	NW_003097959.1	Primary Assembly	1371	na
ChrU_110196	unplaced-scaffold	na	na	GJ057215.1	=	NW_003097960.1	Primary Assembly	1620	na
ChrU_111916	unplaced-scaffold	na	na	GJ057216.1	=	NW_003097961.1	Primary Assembly	1077	na
ChrU_113093	unplaced-scaffold	na	na	GJ057217.1	=	NW_003097962.1	Primary Assembly	1050	na
ChrU_114243	unplaced-scaffold	na	na	GJ057218.1	=	NW_003097963.1	Primary Assembly	1020	na
ChrU_115363	unplaced-scaffold	na	na	GJ057219.1	=	NW_003097964.1	Primary Assembly	1155	na
ChrU_116618	unplaced-scaffold	na	na	GJ057220.1	=	NW_003097965.1	Primary Assembly	1201	na
ChrU_119020	unplaced-scaffold	na	na	GJ057222.1	=	NW_003097967.1	Primary Assembly	1663	na
ChrU_120783	unplaced-scaffold	na	na	GJ057223.1	=	NW_003097968.1	Primary Assembly	1391	na
ChrU_122274	unplaced-scaffold	na	na	GJ057224.1	=	NW_003097969.1	Primary Assembly	1463	na
ChrU_123837	unplaced-scaffold	na	na	GJ057225.1	=	NW_003097970.1	Primary Assembly	1199	na
ChrU_125136	unplaced-scaffold	na	na	GJ057226.1	=	NW_003097971.1	Primary Assembly	1063	na
ChrU_126299	unplaced-scaffold	na	na	GJ057227.1	=	NW_003097972.1	Primary Assembly	1152	na
ChrU_127551	unplaced-scaffold	na	na	GJ057228.1	=	NW_003097973.1	Primary Assembly	1013	na
ChrU_128664	unplaced-scaffold	na	na	GJ057229.1	=	NW_003097974.1	Primary Assembly	1369	na
ChrU_130133	unplaced-scaffold	na	na	GJ057230.1	=	NW_003097975.1	Primary Assembly	1066	na
ChrU_131299	unplaced-scaffold	na	na	GJ057231.1	=	NW_003097976.1	Primary Assembly	1834	na
ChrU_133233	unplaced-scaffold	na	na	GJ057232.1	=	NW_003097977.1	Primary Assembly	1135	na
ChrU_134468	unplaced-scaffold	na	na	GJ057233.1	=	NW_003097978.1	Primary Assembly	1109	na
ChrU_137978	unplaced-scaffold	na	na	GJ057236.1	=	NW_003097981.1	Primary Assembly	1275	na
ChrU_140772	unplaced-scaffold	na	na	GJ057238.1	=	NW_003097983.1	Primary Assembly	1172	na
ChrU_142044	unplaced-scaffold	na	na	GJ057239.1	=	NW_003097984.1	Primary Assembly	1059	na
ChrU_143203	unplaced-scaffold	na	na	GJ057240.1	=	NW_003097985.1	Primary Assembly	1643	na
ChrU_144946	unplaced-scaffold	na	na	GJ057241.1	=	NW_003097986.1	Primary Assembly	1249	na
ChrU_155732	unplaced-scaffold	na	na	GJ057247.1	=	NW_003097992.1	Primary Assembly	1472	na
ChrU_157304	unplaced-scaffold	na	na	GJ057248.1	=	NW_003097993.1	Primary Assembly	1180	na
ChrU_163637	unplaced-scaffold	na	na	GJ057253.1	=	NW_003097998.1	Primary Assembly	1259	na
ChrU_168010	unplaced-scaffold	na	na	GJ057256.1	=	NW_003098001.1	Primary Assembly	1286	na
ChrU_169396	unplaced-scaffold	na	na	GJ057257.1	=	NW_003098002.1	Primary Assembly	1173	na
ChrU_170669	unplaced-scaffold	na	na	GJ057258.1	=	NW_003098003.1	Primary Assembly	1374	na
ChrU_172143	unplaced-scaffold	na	na	GJ057259.1	=	NW_003098004.1	Primary Assembly	1521	na
ChrU_173764	unplaced-scaffold	na	na	GJ057260.1	=	NW_003098005.1	Primary Assembly	1389	na
ChrU_175253	unplaced-scaffold	na	na	GJ057261.1	=	NW_003098006.1	Primary Assembly	1356	na
ChrU_177815	unplaced-scaffold	na	na	GJ057263.1	=	NW_003098008.1	Primary Assembly	1109	na
ChrU_179024	unplaced-scaffold	na	na	GJ057264.1	=	NW_003098009.1	Primary Assembly	1170	na
ChrU_180294	unplaced-scaffold	na	na	GJ057265.1	=	NW_003098010.1	Primary Assembly	1040	na
ChrU_181434	unplaced-scaffold	na	na	GJ057266.1	=	NW_003098011.1	Primary Assembly	1039	na
ChrU_182573	unplaced-scaffold	na	na	GJ057267.1	=	NW_003098012.1	Primary Assembly	1145	na
ChrU_183818	unplaced-scaffold	na	na	GJ057268.1	=	NW_003098013.1	Primary Assembly	1077	na
ChrU_186269	unplaced-scaffold	na	na	GJ057270.1	=	NW_003098015.1	Primary Assembly	1080	na
ChrU_189209	unplaced-scaffold	na	na	GJ057272.1	=	NW_003098017.1	Primary Assembly	1604	na
ChrU_190913	unplaced-scaffold	na	na	GJ057273.1	=	NW_003098018.1	Primary Assembly	1177	na
ChrU_192190	unplaced-scaffold	na	na	GJ057274.1	=	NW_003098019.1	Primary Assembly	1032	na
ChrU_193322	unplaced-scaffold	na	na	GJ057275.1	=	NW_003098020.1	Primary Assembly	1134	na
ChrU_194556	unplaced-scaffold	na	na	GJ057276.1	=	NW_003098021.1	Primary Assembly	1019	na
ChrU_195675	unplaced-scaffold	na	na	GJ057277.1	=	NW_003098022.1	Primary Assembly	1072	na
ChrU_196847	unplaced-scaffold	na	na	GJ057278.1	=	NW_003098023.1	Primary Assembly	1090	na
ChrU_198037	unplaced-scaffold	na	na	GJ057279.1	=	NW_003098024.1	Primary Assembly	1034	na
ChrU_199171	unplaced-scaffold	na	na	GJ057280.1	=	NW_003098025.1	Primary Assembly	1132	na
ChrU_200403	unplaced-scaffold	na	na	GJ057281.1	=	NW_003098026.1	Primary Assembly	1153	na
ChrU_201656	unplaced-scaffold	na	na	GJ057282.1	=	NW_003098027.1	Primary Assembly	1054	na
ChrU_202810	unplaced-scaffold	na	na	GJ057283.1	=	NW_003098028.1	Primary Assembly	1125	na
ChrU_204035	unplaced-scaffold	na	na	GJ057284.1	=	NW_003098029.1	Primary Assembly	1303	na
ChrU_205438	unplaced-scaffold	na	na	GJ057285.1	=	NW_003098030.1	Primary Assembly	1073	na
ChrU_206611	unplaced-scaffold	na	na	GJ057286.1	=	NW_003098031.1	Primary Assembly	1265	na
ChrU_207976	unplaced-scaffold	na	na	GJ057287.1	=	NW_003098032.1	Primary Assembly	1853	na
ChrU_209929	unplaced-scaffold	na	na	GJ057288.1	=	NW_003098033.1	Primary Assembly	1511	na
ChrU_214119	unplaced-scaffold	na	na	GJ057291.1	=	NW_003098036.1	Primary Assembly	1924	na
ChrU_216143	unplaced-scaffold	na	na	GJ057292.1	=	NW_003098037.1	Primary Assembly	1071	na
ChrU_217314	unplaced-scaffold	na	na	GJ057293.1	=	NW_003098038.1	Primary Assembly	1021	na
ChrU_218435	unplaced-scaffold	na	na	GJ057294.1	=	NW_003098039.1	Primary Assembly	1087	na
ChrU_219622	unplaced-scaffold	na	na	GJ057295.1	=	NW_003098040.1	Primary Assembly	1118	na
ChrU_220840	unplaced-scaffold	na	na	GJ057296.1	=	NW_003098041.1	Primary Assembly	1383	na
ChrU_222323	unplaced-scaffold	na	na	GJ057297.1	=	NW_003098042.1	Primary Assembly	1669	na
ChrU_224092	unplaced-scaffold	na	na	GJ057298.1	=	NW_003098043.1	Primary Assembly	1259	na
ChrU_225451	unplaced-scaffold	na	na	GJ057299.1	=	NW_003098044.1	Primary Assembly	1162	na
ChrU_226713	unplaced-scaffold	na	na	GJ057300.1	=	NW_003098045.1	Primary Assembly	1476	na
ChrU_228289	unplaced-scaffold	na	na	GJ057301.1	=	NW_003098046.1	Primary Assembly	1223	na
ChrU_229612	unplaced-scaffold	na	na	GJ057302.1	=	NW_003098047.1	Primary Assembly	2760	na
ChrU_232472	unplaced-scaffold	na	na	GJ057303.1	=	NW_003098048.1	Primary Assembly	1961	na
ChrU_234533	unplaced-scaffold	na	na	GJ057304.1	=	NW_003098049.1	Primary Assembly	1307	na
ChrU_235940	unplaced-scaffold	na	na	GJ057305.1	=	NW_003098050.1	Primary Assembly	1514	na
ChrU_250660	unplaced-scaffold	na	na	GJ057309.1	=	NW_003098054.1	Primary Assembly	1047	na
ChrU_252954	unplaced-scaffold	na	na	GJ057311.1	=	NW_003098056.1	Primary Assembly	1347	na
ChrU_254401	unplaced-scaffold	na	na	GJ057312.1	=	NW_003098057.1	Primary Assembly	1877	na
ChrU_257679	unplaced-scaffold	na	na	GJ057314.1	=	NW_003098059.1	Primary Assembly	1303	na
ChrU_259082	unplaced-scaffold	na	na	GJ057315.1	=	NW_003098060.1	Primary Assembly	1134	na
ChrU_260316	unplaced-scaffold	na	na	GJ057316.1	=	NW_003098061.1	Primary Assembly	1067	na
ChrU_261483	unplaced-scaffold	na	na	GJ057317.1	=	NW_003098062.1	Primary Assembly	1036	na
ChrU_262619	unplaced-scaffold	na	na	GJ057318.1	=	NW_003098063.1	Primary Assembly	1017	na
ChrU_263736	unplaced-scaffold	na	na	GJ057319.1	=	NW_003098064.1	Primary Assembly	1069	na
ChrU_264905	unplaced-scaffold	na	na	GJ057320.1	=	NW_003098065.1	Primary Assembly	1134	na
ChrU_266139	unplaced-scaffold	na	na	GJ057321.1	=	NW_003098066.1	Primary Assembly	1020	na
ChrU_267259	unplaced-scaffold	na	na	GJ057322.1	=	NW_003098067.1	Primary Assembly	1033	na
ChrU_268392	unplaced-scaffold	na	na	GJ057323.1	=	NW_003098068.1	Primary Assembly	1071	na
ChrU_269563	unplaced-scaffold	na	na	GJ057324.1	=	NW_003098069.1	Primary Assembly	1203	na
ChrU_270866	unplaced-scaffold	na	na	GJ057325.1	=	NW_003098070.1	Primary Assembly	1117	na
ChrU_272083	unplaced-scaffold	na	na	GJ057326.1	=	NW_003098071.1	Primary Assembly	1100	na
ChrU_273283	unplaced-scaffold	na	na	GJ057327.1	=	NW_003098072.1	Primary Assembly	1091	na
ChrU_274474	unplaced-scaffold	na	na	GJ057328.1	=	NW_003098073.1	Primary Assembly	1046	na
ChrU_275620	unplaced-scaffold	na	na	GJ057329.1	=	NW_003098074.1	Primary Assembly	1349	na
ChrU_277069	unplaced-scaffold	na	na	GJ057330.1	=	NW_003098075.1	Primary Assembly	1103	na
ChrU_279457	unplaced-scaffold	na	na	GJ057332.1	=	NW_003098077.1	Primary Assembly	1133	na
ChrU_280690	unplaced-scaffold	na	na	GJ057333.1	=	NW_003098078.1	Primary Assembly	1515	na
ChrU_283768	unplaced-scaffold	na	na	GJ057335.1	=	NW_003098080.1	Primary Assembly	1074	na
ChrU_284942	unplaced-scaffold	na	na	GJ057336.1	=	NW_003098081.1	Primary Assembly	1350	na
ChrU_286392	unplaced-scaffold	na	na	GJ057337.1	=	NW_003098082.1	Primary Assembly	1462	na
ChrU_287954	unplaced-scaffold	na	na	GJ057338.1	=	NW_003098083.1	Primary Assembly	1111	na
ChrU_289165	unplaced-scaffold	na	na	GJ057339.1	=	NW_003098084.1	Primary Assembly	1178	na
ChrU_291778	unplaced-scaffold	na	na	GJ057341.1	=	NW_003098086.1	Primary Assembly	1562	na
ChrU_294808	unplaced-scaffold	na	na	GJ057343.1	=	NW_003098088.1	Primary Assembly	1151	na
ChrU_296059	unplaced-scaffold	na	na	GJ057344.1	=	NW_003098089.1	Primary Assembly	1032	na
ChrU_297191	unplaced-scaffold	na	na	GJ057345.1	=	NW_003098090.1	Primary Assembly	1069	na
ChrU_298360	unplaced-scaffold	na	na	GJ057346.1	=	NW_003098091.1	Primary Assembly	1013	na
ChrU_300584	unplaced-scaffold	na	na	GJ057348.1	=	NW_003098093.1	Primary Assembly	1376	na
ChrU_302060	unplaced-scaffold	na	na	GJ057349.1	=	NW_003098094.1	Primary Assembly	1474	na
ChrU_303634	unplaced-scaffold	na	na	GJ057350.1	=	NW_003098095.1	Primary Assembly	1140	na
ChrU_304874	unplaced-scaffold	na	na	GJ057351.1	=	NW_003098096.1	Primary Assembly	1173	na
ChrU_306147	unplaced-scaffold	na	na	GJ057352.1	=	NW_003098097.1	Primary Assembly	1007	na
ChrU_307254	unplaced-scaffold	na	na	GJ057353.1	=	NW_003098098.1	Primary Assembly	1293	na
ChrU_309859	unplaced-scaffold	na	na	GJ057355.1	=	NW_003098100.1	Primary Assembly	1043	na
ChrU_311002	unplaced-scaffold	na	na	GJ057356.1	=	NW_003098101.1	Primary Assembly	1184	na
ChrU_312286	unplaced-scaffold	na	na	GJ057357.1	=	NW_003098102.1	Primary Assembly	1119	na
ChrU_313505	unplaced-scaffold	na	na	GJ057358.1	=	NW_003098103.1	Primary Assembly	1263	na
ChrU_314868	unplaced-scaffold	na	na	GJ057359.1	=	NW_003098104.1	Primary Assembly	2160	na
ChrU_317128	unplaced-scaffold	na	na	GJ057360.1	=	NW_003098105.1	Primary Assembly	1145	na
ChrU_318373	unplaced-scaffold	na	na	GJ057361.1	=	NW_003098106.1	Primary Assembly	1021	na
ChrU_319494	unplaced-scaffold	na	na	GJ057362.1	=	NW_003098107.1	Primary Assembly	1093	na
ChrU_320687	unplaced-scaffold	na	na	GJ057363.1	=	NW_003098108.1	Primary Assembly	1091	na
ChrU_323058	unplaced-scaffold	na	na	GJ057365.1	=	NW_003098110.1	Primary Assembly	1525	na
ChrU_327203	unplaced-scaffold	na	na	GJ057368.1	=	NW_003098113.1	Primary Assembly	1203	na
ChrU_329885	unplaced-scaffold	na	na	GJ057370.1	=	NW_003098115.1	Primary Assembly	1162	na
ChrU_331147	unplaced-scaffold	na	na	GJ057371.1	=	NW_003098116.1	Primary Assembly	1109	na
ChrU_332356	unplaced-scaffold	na	na	GJ057372.1	=	NW_003098117.1	Primary Assembly	1093	na
ChrU_333549	unplaced-scaffold	na	na	GJ057373.1	=	NW_003098118.1	Primary Assembly	1053	na
ChrU_334702	unplaced-scaffold	na	na	GJ057374.1	=	NW_003098119.1	Primary Assembly	1060	na
ChrU_335862	unplaced-scaffold	na	na	GJ057375.1	=	NW_003098120.1	Primary Assembly	1094	na
ChrU_337056	unplaced-scaffold	na	na	GJ057376.1	=	NW_003098121.1	Primary Assembly	1036	na
ChrU_338192	unplaced-scaffold	na	na	GJ057377.1	=	NW_003098122.1	Primary Assembly	1030	na
ChrU_339322	unplaced-scaffold	na	na	GJ057378.1	=	NW_003098123.1	Primary Assembly	1191	na
ChrU_340613	unplaced-scaffold	na	na	GJ057379.1	=	NW_003098124.1	Primary Assembly	1095	na
ChrU_341808	unplaced-scaffold	na	na	GJ057380.1	=	NW_003098125.1	Primary Assembly	1665	na
ChrU_343573	unplaced-scaffold	na	na	GJ057381.1	=	NW_003098126.1	Primary Assembly	1048	na
ChrU_344721	unplaced-scaffold	na	na	GJ057382.1	=	NW_003098127.1	Primary Assembly	1041	na
ChrU_347002	unplaced-scaffold	na	na	GJ057384.1	=	NW_003098129.1	Primary Assembly	1241	na
ChrU_348343	unplaced-scaffold	na	na	GJ057385.1	=	NW_003098130.1	Primary Assembly	2376	na
ChrU_350819	unplaced-scaffold	na	na	GJ057386.1	=	NW_003098131.1	Primary Assembly	1072	na
ChrU_351991	unplaced-scaffold	na	na	GJ057387.1	=	NW_003098132.1	Primary Assembly	1010	na
ChrU_353101	unplaced-scaffold	na	na	GJ057388.1	=	NW_003098133.1	Primary Assembly	1008	na
ChrU_354209	unplaced-scaffold	na	na	GJ057389.1	=	NW_003098134.1	Primary Assembly	1565	na
ChrU_358565	unplaced-scaffold	na	na	GJ057392.1	=	NW_003098137.1	Primary Assembly	1024	na
ChrU_359689	unplaced-scaffold	na	na	GJ057393.1	=	NW_003098138.1	Primary Assembly	1567	na
ChrU_362488	unplaced-scaffold	na	na	GJ057395.1	=	NW_003098140.1	Primary Assembly	1680	na
ChrU_364268	unplaced-scaffold	na	na	GJ057396.1	=	NW_003098141.1	Primary Assembly	1020	na
ChrU_365388	unplaced-scaffold	na	na	GJ057397.1	=	NW_003098142.1	Primary Assembly	1888	na
ChrU_367376	unplaced-scaffold	na	na	GJ057398.1	=	NW_003098143.1	Primary Assembly	2923	na
ChrU_370399	unplaced-scaffold	na	na	GJ057399.1	=	NW_003098144.1	Primary Assembly	1199	na
ChrU_371698	unplaced-scaffold	na	na	GJ057400.1	=	NW_003098145.1	Primary Assembly	1341	na
ChrU_373139	unplaced-scaffold	na	na	GJ057401.1	=	NW_003098146.1	Primary Assembly	1479	na
ChrU_374718	unplaced-scaffold	na	na	GJ057402.1	=	NW_003098147.1	Primary Assembly	2521	na
ChrU_377339	unplaced-scaffold	na	na	GJ057403.1	=	NW_003098148.1	Primary Assembly	1582	na
ChrU_379021	unplaced-scaffold	na	na	GJ057404.1	=	NW_003098149.1	Primary Assembly	1816	na
