CM000812.5.tRNA5870-LeuTAA	chr1.tRNA5870-LeuTAA
CM000823.5.tRNA1890-GlnTTG	chr12.tRNA1890-GlnTTG
CM000823.5.tRNA1508-ThrCGT	chr12.tRNA1508-ThrCGT
CM000823.5.tRNA1483-TyrGTA	chr12.tRNA1483-TyrGTA
CM000823.5.tRNA993-LysTTT	chr12.tRNA993-LysTTT
CM000823.5.tRNA994-GlnCTG	chr12.tRNA994-GlnCTG
CM000823.5.tRNA1309-LeuTAG	chr12.tRNA1309-LeuTAG
CM000823.5.tRNA995-ArgTCT	chr12.tRNA995-ArgTCT
CM000823.5.tRNA996-GlyGCC	chr12.tRNA996-GlyGCC
CM000823.5.tRNA1308-SerCGA	chr12.tRNA1308-SerCGA
CM000823.5.tRNA1307-ThrAGT	chr12.tRNA1307-ThrAGT
CM000823.5.tRNA997-TrpCCA	chr12.tRNA997-TrpCCA
CM000823.5.tRNA998-SerGCT	chr12.tRNA998-SerGCT
CM000823.5.tRNA999-ThrAGT	chr12.tRNA999-ThrAGT
CM000823.5.tRNA1000-IleAAT	chr12.tRNA1000-IleAAT
CM000823.5.tRNA1306-TrpCCA	chr12.tRNA1306-TrpCCA
CM000823.5.tRNA1001-GlyTCC	chr12.tRNA1001-GlyTCC
CM000823.5.tRNA1305-AspGTC	chr12.tRNA1305-AspGTC
CM000823.5.tRNA1304-ProCGG	chr12.tRNA1304-ProCGG
CM000823.5.tRNA1303-ThrAGT	chr12.tRNA1303-ThrAGT
CM000823.5.tRNA1302-SerAGA	chr12.tRNA1302-SerAGA
CM000823.5.tRNA1301-IleAAT	chr12.tRNA1301-IleAAT
CM000823.5.tRNA1181-TrpCCA	chr12.tRNA1181-TrpCCA
CM000824.5.tRNA2-CysGCA	chr13.tRNA2-CysGCA
CM000824.5.tRNA37-GluTTC	chr13.tRNA37-GluTTC
CM000824.5.tRNA4254-ArgACG	chr13.tRNA4254-ArgACG
CM000824.5.tRNA1253-ValAAC	chr13.tRNA1253-ValAAC
CM000825.5.tRNA3711-AspGTC	chr14.tRNA3711-AspGTC
CM000825.5.tRNA271-GluTTC	chr14.tRNA271-GluTTC
CM000825.5.tRNA3514-AlaTGC	chr14.tRNA3514-AlaTGC
CM000825.5.tRNA416-AspGTC	chr14.tRNA416-AspGTC
CM000825.5.tRNA417-PheGAA	chr14.tRNA417-PheGAA
CM000825.5.tRNA418-AspGTC	chr14.tRNA418-AspGTC
CM000825.5.tRNA420-AlaTGC	chr14.tRNA420-AlaTGC
CM000825.5.tRNA3126-UndetNNN	chr14.tRNA3126-UndetNNN
CM000825.5.tRNA2965-AspATC	chr14.tRNA2965-AspATC
CM000825.5.tRNA1055-SerTGA	chr14.tRNA1055-SerTGA
CM000825.5.tRNA1147-LeuTAA	chr14.tRNA1147-LeuTAA
CM000825.5.tRNA2722-LysTTT	chr14.tRNA2722-LysTTT
CM000826.5.tRNA24-AspGTC	chr15.tRNA24-AspGTC
CM000826.5.tRNA85-GluTTC	chr15.tRNA85-GluTTC
CM000826.5.tRNA314-GluTTC	chr15.tRNA314-GluTTC
CM000826.5.tRNA643-AlaCGC	chr15.tRNA643-AlaCGC
CM000826.5.tRNA2403-GlyGCC	chr15.tRNA2403-GlyGCC
CM000826.5.tRNA1710-PheGAA	chr15.tRNA1710-PheGAA
CM000827.5.tRNA1643-GluTTC	chr16.tRNA1643-GluTTC
CM000827.5.tRNA187-GluTTC	chr16.tRNA187-GluTTC
CM000827.5.tRNA200-LysTTT	chr16.tRNA200-LysTTT
CM000827.5.tRNA1262-GluTTC	chr16.tRNA1262-GluTTC
CM000827.5.tRNA847-LysTTT	chr16.tRNA847-LysTTT
CM000827.5.tRNA875-GlyGCC	chr16.tRNA875-GlyGCC
CM000828.5.tRNA14-GluTTC	chr17.tRNA14-GluTTC
CM000828.5.tRNA60-GluTTC	chr17.tRNA60-GluTTC
CM000828.5.tRNA69-GlyGCC	chr17.tRNA69-GlyGCC
CM000828.5.tRNA287-CysACA	chr17.tRNA287-CysACA
CM000829.5.tRNA1302-ArgCCT	chr18.tRNA1302-ArgCCT
CM000829.5.tRNA1129-ProAGG	chr18.tRNA1129-ProAGG
CM000829.5.tRNA861-LysTTT	chr18.tRNA861-LysTTT
CM000829.5.tRNA724-CysGCA	chr18.tRNA724-CysGCA
CM000829.5.tRNA725-CysGCA	chr18.tRNA725-CysGCA
CM000829.5.tRNA752-CysGCA	chr18.tRNA752-CysGCA
CM000829.5.tRNA750-CysGCA	chr18.tRNA750-CysGCA
CM000829.5.tRNA749-CysGCA	chr18.tRNA749-CysGCA
CM000829.5.tRNA726-CysGCA	chr18.tRNA726-CysGCA
CM000829.5.tRNA727-CysGCA	chr18.tRNA727-CysGCA
CM000829.5.tRNA728-CysGCA	chr18.tRNA728-CysGCA
CM000829.5.tRNA742-CysGCA	chr18.tRNA742-CysGCA
CM000829.5.tRNA740-CysGCA	chr18.tRNA740-CysGCA
CM000829.5.tRNA739-CysGCA	chr18.tRNA739-CysGCA
CM000829.5.tRNA729-CysGCA	chr18.tRNA729-CysGCA
CM000813.5.tRNA64-AlaAGC	chr2.tRNA64-AlaAGC
CM000813.5.tRNA3882-SerGCT	chr2.tRNA3882-SerGCT
CM000813.5.tRNA228-PheGAA	chr2.tRNA228-PheGAA
CM000813.5.tRNA229-LysTTT	chr2.tRNA229-LysTTT
CM000813.5.tRNA230-PheGAA	chr2.tRNA230-PheGAA
CM000813.5.tRNA3775-LysTTT	chr2.tRNA3775-LysTTT
CM000813.5.tRNA3774-LeuTAA	chr2.tRNA3774-LeuTAA
CM000813.5.tRNA3773-ArgTCT	chr2.tRNA3773-ArgTCT
CM000813.5.tRNA231-ValTAC	chr2.tRNA231-ValTAC
CM000813.5.tRNA248-ValTAC	chr2.tRNA248-ValTAC
CM000813.5.tRNA263-MetCAT	chr2.tRNA263-MetCAT
CM000813.5.tRNA281-GluTTC	chr2.tRNA281-GluTTC
CM000813.5.tRNA3200-GluCTC	chr2.tRNA3200-GluCTC
CM000813.5.tRNA3199-LeuCAA	chr2.tRNA3199-LeuCAA
CM000813.5.tRNA754-ValCAC	chr2.tRNA754-ValCAC
CM000813.5.tRNA755-LysCTT	chr2.tRNA755-LysCTT
CM000813.5.tRNA3162-LysCTT	chr2.tRNA3162-LysCTT
CM000813.5.tRNA3161-AlaTGC	chr2.tRNA3161-AlaTGC
CM000813.5.tRNA756-ThrTGT	chr2.tRNA756-ThrTGT
CM000813.5.tRNA757-ProTGG	chr2.tRNA757-ProTGG
CM000813.5.tRNA758-ValAAC	chr2.tRNA758-ValAAC
CM000813.5.tRNA3160-LeuAAG	chr2.tRNA3160-LeuAAG
CM000813.5.tRNA3120-GlnTTG	chr2.tRNA3120-GlnTTG
CM000813.5.tRNA1050-ThrTGT	chr2.tRNA1050-ThrTGT
CM000813.5.tRNA2869-GlyTCC	chr2.tRNA2869-GlyTCC
CM000813.5.tRNA2797-AsnGTT	chr2.tRNA2797-AsnGTT
CM000813.5.tRNA1155-PheGAA	chr2.tRNA1155-PheGAA
CM000813.5.tRNA1280-ArgTCG	chr2.tRNA1280-ArgTCG
CM000814.5.tRNA104-TrpCCA	chr3.tRNA104-TrpCCA
CM000814.5.tRNA3665-LysTTT	chr3.tRNA3665-LysTTT
CM000814.5.tRNA3437-LeuAAG	chr3.tRNA3437-LeuAAG
CM000814.5.tRNA507-LeuTAG	chr3.tRNA507-LeuTAG
CM000814.5.tRNA3399-AlaAGC	chr3.tRNA3399-AlaAGC
CM000814.5.tRNA586-iMetCAT	chr3.tRNA586-iMetCAT
CM000814.5.tRNA3342-ThrCGT	chr3.tRNA3342-ThrCGT
CM000814.5.tRNA3205-LysCTT	chr3.tRNA3205-LysCTT
CM000814.5.tRNA3204-ArgCCT	chr3.tRNA3204-ArgCCT
CM000814.5.tRNA3203-ProAGG	chr3.tRNA3203-ProAGG
CM000814.5.tRNA3202-LysCTT	chr3.tRNA3202-LysCTT
CM000814.5.tRNA3201-ProAGG	chr3.tRNA3201-ProAGG
CM000814.5.tRNA3200-ProTGG	chr3.tRNA3200-ProTGG
CM000814.5.tRNA3199-LysCTT	chr3.tRNA3199-LysCTT
CM000814.5.tRNA3198-LysCTT	chr3.tRNA3198-LysCTT
CM000814.5.tRNA759-ArgCCT	chr3.tRNA759-ArgCCT
CM000814.5.tRNA3197-ProCGG	chr3.tRNA3197-ProCGG
CM000814.5.tRNA3196-LysCTT	chr3.tRNA3196-LysCTT
CM000814.5.tRNA3195-LysCTT	chr3.tRNA3195-LysCTT
CM000814.5.tRNA761-LysCTT	chr3.tRNA761-LysCTT
CM000814.5.tRNA3193-ProTGG	chr3.tRNA3193-ProTGG
CM000814.5.tRNA762-LysCTT	chr3.tRNA762-LysCTT
CM000814.5.tRNA3192-ArgCCT	chr3.tRNA3192-ArgCCT
CM000814.5.tRNA3191-ArgCCG	chr3.tRNA3191-ArgCCG
CM000814.5.tRNA799-GlyCCC	chr3.tRNA799-GlyCCC
CM000814.5.tRNA922-SerAGA	chr3.tRNA922-SerAGA
CM000814.5.tRNA1279-GlyCCC	chr3.tRNA1279-GlyCCC
CM000814.5.tRNA2694-ValTAC	chr3.tRNA2694-ValTAC
CM000814.5.tRNA1452-PheGAA	chr3.tRNA1452-PheGAA
CM000814.5.tRNA1555-LysTTT	chr3.tRNA1555-LysTTT
CM000814.5.tRNA2409-IleTAT	chr3.tRNA2409-IleTAT
CM000814.5.tRNA2236-AlaAGC	chr3.tRNA2236-AlaAGC
CM000814.5.tRNA2235-TyrGTA	chr3.tRNA2235-TyrGTA
CM000815.5.tRNA195-MetCAT	chr4.tRNA195-MetCAT
CM000815.5.tRNA352-GluTTC	chr4.tRNA352-GluTTC
CM000815.5.tRNA499-SerAGA	chr4.tRNA499-SerAGA
CM000815.5.tRNA2603-AlaAGC	chr4.tRNA2603-AlaAGC
CM000815.5.tRNA2602-TyrGTA	chr4.tRNA2602-TyrGTA
CM000815.5.tRNA2601-TyrGTA	chr4.tRNA2601-TyrGTA
CM000815.5.tRNA1024-ProAGG	chr4.tRNA1024-ProAGG
CM000815.5.tRNA2417-ProCGG	chr4.tRNA2417-ProCGG
CM000815.5.tRNA2348-AsnGTT	chr4.tRNA2348-AsnGTT
CM000815.5.tRNA2347-AspGTC	chr4.tRNA2347-AspGTC
CM000815.5.tRNA2346-GlyTCC	chr4.tRNA2346-GlyTCC
CM000815.5.tRNA1086-LeuCAG	chr4.tRNA1086-LeuCAG
CM000815.5.tRNA1087-GlyGCC	chr4.tRNA1087-GlyGCC
CM000815.5.tRNA2344-GlyGCC	chr4.tRNA2344-GlyGCC
CM000815.5.tRNA2343-LeuCAG	chr4.tRNA2343-LeuCAG
CM000815.5.tRNA1088-AspGTC	chr4.tRNA1088-AspGTC
CM000815.5.tRNA1089-GlyTCC	chr4.tRNA1089-GlyTCC
CM000815.5.tRNA1090-GluCTC	chr4.tRNA1090-GluCTC
CM000815.5.tRNA2342-GlyGCC	chr4.tRNA2342-GlyGCC
CM000815.5.tRNA2341-LeuCAG	chr4.tRNA2341-LeuCAG
CM000815.5.tRNA1091-AspGTC	chr4.tRNA1091-AspGTC
CM000815.5.tRNA1092-GlyTCC	chr4.tRNA1092-GlyTCC
CM000815.5.tRNA1093-GluCTC	chr4.tRNA1093-GluCTC
CM000815.5.tRNA2340-GlyGCC	chr4.tRNA2340-GlyGCC
CM000815.5.tRNA2339-LeuCAG	chr4.tRNA2339-LeuCAG
CM000815.5.tRNA1094-AspGTC	chr4.tRNA1094-AspGTC
CM000815.5.tRNA1095-GlyTCC	chr4.tRNA1095-GlyTCC
CM000815.5.tRNA1096-GluCTC	chr4.tRNA1096-GluCTC
CM000815.5.tRNA2338-GlyGCC	chr4.tRNA2338-GlyGCC
CM000815.5.tRNA2337-LeuCAG	chr4.tRNA2337-LeuCAG
CM000815.5.tRNA1097-AspGTC	chr4.tRNA1097-AspGTC
CM000815.5.tRNA1098-GlyTCC	chr4.tRNA1098-GlyTCC
CM000815.5.tRNA1099-GluCTC	chr4.tRNA1099-GluCTC
CM000815.5.tRNA2336-GlyGCC	chr4.tRNA2336-GlyGCC
CM000815.5.tRNA2335-LeuCAG	chr4.tRNA2335-LeuCAG
CM000815.5.tRNA1100-AspGTC	chr4.tRNA1100-AspGTC
CM000815.5.tRNA1101-GlyTCC	chr4.tRNA1101-GlyTCC
CM000815.5.tRNA1102-GluCTC	chr4.tRNA1102-GluCTC
CM000815.5.tRNA2334-GlyGCC	chr4.tRNA2334-GlyGCC
CM000815.5.tRNA2333-LeuCAG	chr4.tRNA2333-LeuCAG
CM000815.5.tRNA1103-AspGTC	chr4.tRNA1103-AspGTC
CM000815.5.tRNA1104-GlyTCC	chr4.tRNA1104-GlyTCC
CM000815.5.tRNA1105-GluCTC	chr4.tRNA1105-GluCTC
CM000815.5.tRNA2332-GlyGCC	chr4.tRNA2332-GlyGCC
CM000815.5.tRNA2331-LeuCAG	chr4.tRNA2331-LeuCAG
CM000815.5.tRNA1106-AspGTC	chr4.tRNA1106-AspGTC
CM000815.5.tRNA1107-GlyTCC	chr4.tRNA1107-GlyTCC
CM000815.5.tRNA1108-GluCTC	chr4.tRNA1108-GluCTC
CM000815.5.tRNA1111-ValCAC	chr4.tRNA1111-ValCAC
CM000815.5.tRNA1147-ArgTCT	chr4.tRNA1147-ArgTCT
CM000815.5.tRNA2203-iMetCAT	chr4.tRNA2203-iMetCAT
CM000815.5.tRNA2131-GluTTC	chr4.tRNA2131-GluTTC
CM000815.5.tRNA1313-ValAAC	chr4.tRNA1313-ValAAC
CM000815.5.tRNA1314-ValAAC	chr4.tRNA1314-ValAAC
CM000815.5.tRNA2130-AsnGTT	chr4.tRNA2130-AsnGTT
CM000815.5.tRNA1315-HisGTG	chr4.tRNA1315-HisGTG
CM000815.5.tRNA1316-GlyCCC	chr4.tRNA1316-GlyCCC
CM000815.5.tRNA2129-ValAAC	chr4.tRNA2129-ValAAC
CM000815.5.tRNA1317-GluTTC	chr4.tRNA1317-GluTTC
CM000815.5.tRNA1318-AsnGTT	chr4.tRNA1318-AsnGTT
CM000815.5.tRNA1319-AsnGTT	chr4.tRNA1319-AsnGTT
CM000815.5.tRNA2128-LysCTT	chr4.tRNA2128-LysCTT
CM000815.5.tRNA2127-HisGTG	chr4.tRNA2127-HisGTG
CM000815.5.tRNA2126-GlyTCC	chr4.tRNA2126-GlyTCC
CM000815.5.tRNA2125-GluCTC	chr4.tRNA2125-GluCTC
CM000815.5.tRNA1335-GlnCTG	chr4.tRNA1335-GlnCTG
CM000815.5.tRNA2110-GlnCTG	chr4.tRNA2110-GlnCTG
CM000815.5.tRNA1337-GlnCTG	chr4.tRNA1337-GlnCTG
CM000815.5.tRNA1428-GluTTC	chr4.tRNA1428-GluTTC
CM000815.5.tRNA1828-ArgTCT	chr4.tRNA1828-ArgTCT
CM000816.5.tRNA2737-GluTTC	chr5.tRNA2737-GluTTC
CM000816.5.tRNA334-SerCGA	chr5.tRNA334-SerCGA
CM000816.5.tRNA429-TyrGTA	chr5.tRNA429-TyrGTA
CM000816.5.tRNA2283-LeuCAA	chr5.tRNA2283-LeuCAA
CM000816.5.tRNA911-LysTTT	chr5.tRNA911-LysTTT
CM000816.5.tRNA1939-AspGTC	chr5.tRNA1939-AspGTC
CM000816.5.tRNA1186-AlaTGC	chr5.tRNA1186-AlaTGC
CM000816.5.tRNA1647-TrpCCA	chr5.tRNA1647-TrpCCA
CM000816.5.tRNA1646-TrpCCA	chr5.tRNA1646-TrpCCA
CM000816.5.tRNA1645-AspGTC	chr5.tRNA1645-AspGTC
CM000816.5.tRNA1616-AspGTC	chr5.tRNA1616-AspGTC
CM000817.5.tRNA39-GluTTC	chr6.tRNA39-GluTTC
CM000817.5.tRNA4943-GlyGCC	chr6.tRNA4943-GlyGCC
CM000817.5.tRNA190-GlyGCC	chr6.tRNA190-GlyGCC
CM000817.5.tRNA191-GlyGCC	chr6.tRNA191-GlyGCC
CM000817.5.tRNA194-GlyGCC	chr6.tRNA194-GlyGCC
CM000817.5.tRNA195-GlyGCC	chr6.tRNA195-GlyGCC
CM000817.5.tRNA201-MetCAT	chr6.tRNA201-MetCAT
CM000817.5.tRNA279-LeuCAG	chr6.tRNA279-LeuCAG
CM000817.5.tRNA4859-LeuCAG	chr6.tRNA4859-LeuCAG
CM000817.5.tRNA621-ThrAGT	chr6.tRNA621-ThrAGT
CM000817.5.tRNA4438-IleTAT	chr6.tRNA4438-IleTAT
CM000817.5.tRNA4354-SeCTCA	chr6.tRNA4354-SeCTCA
CM000817.5.tRNA881-GluTTC	chr6.tRNA881-GluTTC
CM000817.5.tRNA969-SupTTA	chr6.tRNA969-SupTTA
CM000817.5.tRNA1701-AspGTC	chr6.tRNA1701-AspGTC
CM000817.5.tRNA3482-GlyTCC	chr6.tRNA3482-GlyTCC
CM000817.5.tRNA2787-LysTTT	chr6.tRNA2787-LysTTT
CM000818.5.tRNA283-iMetCAT	chr7.tRNA283-iMetCAT
CM000818.5.tRNA284-ArgTCG	chr7.tRNA284-ArgTCG
CM000818.5.tRNA3306-SerGCT	chr7.tRNA3306-SerGCT
CM000818.5.tRNA3305-GlnTTG	chr7.tRNA3305-GlnTTG
CM000818.5.tRNA3304-GlnTTG	chr7.tRNA3304-GlnTTG
CM000818.5.tRNA3303-SerTGA	chr7.tRNA3303-SerTGA
CM000818.5.tRNA3302-iMetCAT	chr7.tRNA3302-iMetCAT
CM000818.5.tRNA3301-GlyGCC	chr7.tRNA3301-GlyGCC
CM000818.5.tRNA3300-TrpCCA	chr7.tRNA3300-TrpCCA
CM000818.5.tRNA285-ArgTCG	chr7.tRNA285-ArgTCG
CM000818.5.tRNA286-SerAGA	chr7.tRNA286-SerAGA
CM000818.5.tRNA287-ArgACG	chr7.tRNA287-ArgACG
CM000818.5.tRNA3299-iMetCAT	chr7.tRNA3299-iMetCAT
CM000818.5.tRNA3298-TrpCCA	chr7.tRNA3298-TrpCCA
CM000818.5.tRNA289-LeuCAG	chr7.tRNA289-LeuCAG
CM000818.5.tRNA3297-ThrAGT	chr7.tRNA3297-ThrAGT
CM000818.5.tRNA290-ArgACG	chr7.tRNA290-ArgACG
CM000818.5.tRNA291-ValCAC	chr7.tRNA291-ValCAC
CM000818.5.tRNA3296-LysTTT	chr7.tRNA3296-LysTTT
CM000818.5.tRNA292-AlaCGC	chr7.tRNA292-AlaCGC
CM000818.5.tRNA293-IleAAT	chr7.tRNA293-IleAAT
CM000818.5.tRNA294-ProAGG	chr7.tRNA294-ProAGG
CM000818.5.tRNA295-LysCTT	chr7.tRNA295-LysCTT
CM000818.5.tRNA296-TyrGTA	chr7.tRNA296-TyrGTA
CM000818.5.tRNA3295-AlaAGC	chr7.tRNA3295-AlaAGC
CM000818.5.tRNA297-TyrGTA	chr7.tRNA297-TyrGTA
CM000818.5.tRNA298-TyrGTA	chr7.tRNA298-TyrGTA
CM000818.5.tRNA3294-AsnGTT	chr7.tRNA3294-AsnGTT
CM000818.5.tRNA300-MetCAT	chr7.tRNA300-MetCAT
CM000818.5.tRNA3291-ValAAC	chr7.tRNA3291-ValAAC
CM000818.5.tRNA3290-MetCAT	chr7.tRNA3290-MetCAT
CM000818.5.tRNA3289-AlaAGC	chr7.tRNA3289-AlaAGC
CM000818.5.tRNA3288-MetCAT	chr7.tRNA3288-MetCAT
CM000818.5.tRNA3287-AlaAGC	chr7.tRNA3287-AlaAGC
CM000818.5.tRNA3286-ValAAC	chr7.tRNA3286-ValAAC
CM000818.5.tRNA301-IleTAT	chr7.tRNA301-IleTAT
CM000818.5.tRNA302-SerGCT	chr7.tRNA302-SerGCT
CM000818.5.tRNA303-ProCGG	chr7.tRNA303-ProCGG
CM000818.5.tRNA304-SerGCT	chr7.tRNA304-SerGCT
CM000818.5.tRNA305-HisGTG	chr7.tRNA305-HisGTG
CM000818.5.tRNA3285-ValTAC	chr7.tRNA3285-ValTAC
CM000818.5.tRNA306-ThrAGT	chr7.tRNA306-ThrAGT
CM000818.5.tRNA3284-IleAAT	chr7.tRNA3284-IleAAT
CM000818.5.tRNA307-ValCAC	chr7.tRNA307-ValCAC
CM000818.5.tRNA308-SerCGA	chr7.tRNA308-SerCGA
CM000818.5.tRNA309-ArgACG	chr7.tRNA309-ArgACG
CM000818.5.tRNA3283-LeuTAA	chr7.tRNA3283-LeuTAA
CM000818.5.tRNA3282-IleAAT	chr7.tRNA3282-IleAAT
CM000818.5.tRNA310-IleAAT	chr7.tRNA310-IleAAT
CM000818.5.tRNA311-ThrAGT	chr7.tRNA311-ThrAGT
CM000818.5.tRNA312-ValTAC	chr7.tRNA312-ValTAC
CM000818.5.tRNA313-ArgACG	chr7.tRNA313-ArgACG
CM000818.5.tRNA3281-IleAAT	chr7.tRNA3281-IleAAT
CM000818.5.tRNA314-ValCAC	chr7.tRNA314-ValCAC
CM000818.5.tRNA315-IleAAT	chr7.tRNA315-IleAAT
CM000818.5.tRNA316-iMetCAT	chr7.tRNA316-iMetCAT
CM000818.5.tRNA317-SerGCT	chr7.tRNA317-SerGCT
CM000818.5.tRNA3280-iMetCAT	chr7.tRNA3280-iMetCAT
CM000818.5.tRNA3279-IleAAT	chr7.tRNA3279-IleAAT
CM000818.5.tRNA3278-ValCAC	chr7.tRNA3278-ValCAC
CM000818.5.tRNA318-IleAAT	chr7.tRNA318-IleAAT
CM000818.5.tRNA3277-ArgACG	chr7.tRNA3277-ArgACG
CM000818.5.tRNA3276-ValTAC	chr7.tRNA3276-ValTAC
CM000818.5.tRNA3275-ThrAGT	chr7.tRNA3275-ThrAGT
CM000818.5.tRNA3274-iMetCAT	chr7.tRNA3274-iMetCAT
CM000818.5.tRNA3273-LysTTT	chr7.tRNA3273-LysTTT
CM000818.5.tRNA322-SerAGA	chr7.tRNA322-SerAGA
CM000818.5.tRNA323-SerAGA	chr7.tRNA323-SerAGA
CM000818.5.tRNA324-AspGTC	chr7.tRNA324-AspGTC
CM000818.5.tRNA3272-SerTGA	chr7.tRNA3272-SerTGA
CM000818.5.tRNA325-GlnCTG	chr7.tRNA325-GlnCTG
CM000818.5.tRNA326-SerAGA	chr7.tRNA326-SerAGA
CM000818.5.tRNA327-SerAGA	chr7.tRNA327-SerAGA
CM000818.5.tRNA328-iMetCAT	chr7.tRNA328-iMetCAT
CM000818.5.tRNA3271-SerAGA	chr7.tRNA3271-SerAGA
CM000818.5.tRNA329-SerTGA	chr7.tRNA329-SerTGA
CM000818.5.tRNA3270-GlnCTG	chr7.tRNA3270-GlnCTG
CM000818.5.tRNA3269-SerAGA	chr7.tRNA3269-SerAGA
CM000818.5.tRNA330-ArgTCT	chr7.tRNA330-ArgTCT
CM000818.5.tRNA3268-LeuCAA	chr7.tRNA3268-LeuCAA
CM000818.5.tRNA331-LysTTT	chr7.tRNA331-LysTTT
CM000818.5.tRNA3267-AspGTC	chr7.tRNA3267-AspGTC
CM000818.5.tRNA3266-LysTTT	chr7.tRNA3266-LysTTT
CM000818.5.tRNA3265-iMetCAT	chr7.tRNA3265-iMetCAT
CM000818.5.tRNA332-LeuCAA	chr7.tRNA332-LeuCAA
CM000818.5.tRNA3264-LeuCAA	chr7.tRNA3264-LeuCAA
CM000818.5.tRNA333-ThrCGT	chr7.tRNA333-ThrCGT
CM000818.5.tRNA334-IleTAT	chr7.tRNA334-IleTAT
CM000818.5.tRNA335-PheGAA	chr7.tRNA335-PheGAA
CM000818.5.tRNA336-IleAAT	chr7.tRNA336-IleAAT
CM000818.5.tRNA3263-ArgACG	chr7.tRNA3263-ArgACG
CM000818.5.tRNA3262-SerCGA	chr7.tRNA3262-SerCGA
CM000818.5.tRNA3261-ValAAC	chr7.tRNA3261-ValAAC
CM000818.5.tRNA3260-ThrAGT	chr7.tRNA3260-ThrAGT
CM000818.5.tRNA337-IleAAT	chr7.tRNA337-IleAAT
CM000818.5.tRNA338-IleAAT	chr7.tRNA338-IleAAT
CM000818.5.tRNA3259-LeuTAA	chr7.tRNA3259-LeuTAA
CM000818.5.tRNA339-ThrAGT	chr7.tRNA339-ThrAGT
CM000818.5.tRNA340-ValAAC	chr7.tRNA340-ValAAC
CM000818.5.tRNA3258-GlnCTG	chr7.tRNA3258-GlnCTG
CM000818.5.tRNA3257-GlnTTG	chr7.tRNA3257-GlnTTG
CM000818.5.tRNA3255-iMetCAT	chr7.tRNA3255-iMetCAT
CM000818.5.tRNA3254-GlyGCC	chr7.tRNA3254-GlyGCC
CM000818.5.tRNA349-SerGCT	chr7.tRNA349-SerGCT
CM000818.5.tRNA3241-ThrTGT	chr7.tRNA3241-ThrTGT
CM000818.5.tRNA3240-LeuAAG	chr7.tRNA3240-LeuAAG
