AC_000158.1.tRNA882-ValCAC	chr1.tRNA882-ValCAC
AC_000170.1.tRNA767-PheGAA	chr13.tRNA767-PheGAA
AC_000170.1.tRNA8146-AsnGTT	chr13.tRNA8146-AsnGTT
AC_000170.1.tRNA1107-SupTCA	chr13.tRNA1107-SupTCA
AC_000170.1.tRNA1883-TrpCCA	chr13.tRNA1883-TrpCCA
AC_000170.1.tRNA1924-TrpCCA	chr13.tRNA1924-TrpCCA
AC_000170.1.tRNA6410-TrpCCA	chr13.tRNA6410-TrpCCA
AC_000170.1.tRNA3324-MetCAT	chr13.tRNA3324-MetCAT
AC_000170.1.tRNA3816-ArgCCT	chr13.tRNA3816-ArgCCT
AC_000170.1.tRNA4070-ArgCCT	chr13.tRNA4070-ArgCCT
AC_000170.1.tRNA5012-LysTTT	chr13.tRNA5012-LysTTT
AC_000170.1.tRNA4165-ArgCCT	chr13.tRNA4165-ArgCCT
AC_000170.1.tRNA4222-GluTTC	chr13.tRNA4222-GluTTC
AC_000170.1.tRNA4891-SerGCT	chr13.tRNA4891-SerGCT
AC_000171.1.tRNA8300-TrpCCA	chr14.tRNA8300-TrpCCA
AC_000171.1.tRNA973-MetCAT	chr14.tRNA973-MetCAT
AC_000171.1.tRNA7854-MetCAT	chr14.tRNA7854-MetCAT
AC_000171.1.tRNA1201-SerGGA	chr14.tRNA1201-SerGGA
AC_000171.1.tRNA1752-TyrGTA	chr14.tRNA1752-TyrGTA
AC_000171.1.tRNA1753-TyrGTA	chr14.tRNA1753-TyrGTA
AC_000171.1.tRNA1754-AlaAGC	chr14.tRNA1754-AlaAGC
AC_000171.1.tRNA7122-ArgCCT	chr14.tRNA7122-ArgCCT
AC_000171.1.tRNA1943-ArgCCT	chr14.tRNA1943-ArgCCT
AC_000171.1.tRNA1950-ArgCCT	chr14.tRNA1950-ArgCCT
AC_000171.1.tRNA6945-GlyCCC	chr14.tRNA6945-GlyCCC
AC_000171.1.tRNA2822-SupTTA	chr14.tRNA2822-SupTTA
AC_000171.1.tRNA3371-SerGGA	chr14.tRNA3371-SerGGA
AC_000171.1.tRNA5484-GluTTC	chr14.tRNA5484-GluTTC
AC_000171.1.tRNA3831-SerAGA	chr14.tRNA3831-SerAGA
AC_000172.1.tRNA430-TrpCCA	chr15.tRNA430-TrpCCA
AC_000172.1.tRNA713-ArgCCT	chr15.tRNA713-ArgCCT
AC_000172.1.tRNA928-GlyCCC	chr15.tRNA928-GlyCCC
AC_000172.1.tRNA1801-GlyTCC	chr15.tRNA1801-GlyTCC
AC_000172.1.tRNA5651-GlyCCC	chr15.tRNA5651-GlyCCC
AC_000172.1.tRNA2481-ProAGG	chr15.tRNA2481-ProAGG
AC_000172.1.tRNA5193-CysGCA	chr15.tRNA5193-CysGCA
AC_000172.1.tRNA5038-LysCTT	chr15.tRNA5038-LysCTT
AC_000172.1.tRNA2845-ArgCCT	chr15.tRNA2845-ArgCCT
AC_000172.1.tRNA3057-CysGCA	chr15.tRNA3057-CysGCA
AC_000172.1.tRNA3802-PheGAA	chr15.tRNA3802-PheGAA
AC_000172.1.tRNA3954-ValTAC	chr15.tRNA3954-ValTAC
AC_000172.1.tRNA3839-ArgTCT	chr15.tRNA3839-ArgTCT
AC_000172.1.tRNA3840-LeuTAA	chr15.tRNA3840-LeuTAA
AC_000172.1.tRNA3841-LysTTT	chr15.tRNA3841-LysTTT
AC_000172.1.tRNA3953-PheGAA	chr15.tRNA3953-PheGAA
AC_000172.1.tRNA3952-LysTTT	chr15.tRNA3952-LysTTT
AC_000172.1.tRNA3951-PheGAA	chr15.tRNA3951-PheGAA
AC_000173.1.tRNA7-ArgTCT	chr16.tRNA7-ArgTCT
AC_000173.1.tRNA65-LysTTT	chr16.tRNA65-LysTTT
AC_000173.1.tRNA8077-LysTTT	chr16.tRNA8077-LysTTT
AC_000173.1.tRNA192-GluCTC	chr16.tRNA192-GluCTC
AC_000173.1.tRNA7802-LysTTT	chr16.tRNA7802-LysTTT
AC_000173.1.tRNA420-LysCTT	chr16.tRNA420-LysCTT
AC_000173.1.tRNA7133-GlnCTG	chr16.tRNA7133-GlnCTG
AC_000173.1.tRNA1056-ThrTGT	chr16.tRNA1056-ThrTGT
AC_000173.1.tRNA6128-ArgCCG	chr16.tRNA6128-ArgCCG
AC_000173.1.tRNA5299-UndetNNN	chr16.tRNA5299-UndetNNN
AC_000173.1.tRNA3472-ValCAC	chr16.tRNA3472-ValCAC
AC_000173.1.tRNA4687-UndetNNN	chr16.tRNA4687-UndetNNN
AC_000173.1.tRNA3602-GlyCCC	chr16.tRNA3602-GlyCCC
AC_000173.1.tRNA4221-UndetNNN	chr16.tRNA4221-UndetNNN
AC_000174.1.tRNA282-GluTTC	chr17.tRNA282-GluTTC
AC_000174.1.tRNA691-LysTTT	chr17.tRNA691-LysTTT
AC_000174.1.tRNA830-ArgCCT	chr17.tRNA830-ArgCCT
AC_000174.1.tRNA6476-TrpCCA	chr17.tRNA6476-TrpCCA
AC_000174.1.tRNA2139-TrpCCA	chr17.tRNA2139-TrpCCA
AC_000174.1.tRNA5993-GlyCCC	chr17.tRNA5993-GlyCCC
AC_000174.1.tRNA5923-AspATC	chr17.tRNA5923-AspATC
AC_000174.1.tRNA2305-UndetNNN	chr17.tRNA2305-UndetNNN
AC_000174.1.tRNA5644-AlaTGC	chr17.tRNA5644-AlaTGC
AC_000174.1.tRNA2550-AspGTC	chr17.tRNA2550-AspGTC
AC_000174.1.tRNA2551-PheGAA	chr17.tRNA2551-PheGAA
AC_000174.1.tRNA2552-AspGTC	chr17.tRNA2552-AspGTC
AC_000174.1.tRNA2553-AlaTGC	chr17.tRNA2553-AlaTGC
AC_000174.1.tRNA2879-ArgCCT	chr17.tRNA2879-ArgCCT
AC_000174.1.tRNA2900-AspGTC	chr17.tRNA2900-AspGTC
AC_000174.1.tRNA5080-LysTTT	chr17.tRNA5080-LysTTT
AC_000174.1.tRNA4990-ValTAC	chr17.tRNA4990-ValTAC
AC_000174.1.tRNA3627-TrpCCA	chr17.tRNA3627-TrpCCA
AC_000174.1.tRNA4361-TrpCCA	chr17.tRNA4361-TrpCCA
AC_000174.1.tRNA4126-GlnTTG	chr17.tRNA4126-GlnTTG
AC_000175.1.tRNA7236-GlyGCC	chr18.tRNA7236-GlyGCC
AC_000175.1.tRNA7235-GlyGCC	chr18.tRNA7235-GlyGCC
AC_000175.1.tRNA51-GlyGCC	chr18.tRNA51-GlyGCC
AC_000175.1.tRNA64-GlyGCC	chr18.tRNA64-GlyGCC
AC_000175.1.tRNA1153-AlaAGC	chr18.tRNA1153-AlaAGC
AC_000175.1.tRNA1178-PheGAA	chr18.tRNA1178-PheGAA
AC_000175.1.tRNA6188-GlyCCC	chr18.tRNA6188-GlyCCC
AC_000175.1.tRNA1234-LeuCAG	chr18.tRNA1234-LeuCAG
AC_000175.1.tRNA1456-AlaAGC	chr18.tRNA1456-AlaAGC
AC_000175.1.tRNA1735-SerAGA	chr18.tRNA1735-SerAGA
AC_000175.1.tRNA5627-CysGCA	chr18.tRNA5627-CysGCA
AC_000175.1.tRNA1756-SupTCA	chr18.tRNA1756-SupTCA
AC_000175.1.tRNA5570-AspGTC	chr18.tRNA5570-AspGTC
AC_000175.1.tRNA5495-LeuTAA	chr18.tRNA5495-LeuTAA
AC_000175.1.tRNA5449-MetCAT	chr18.tRNA5449-MetCAT
AC_000175.1.tRNA2028-GlyCCC	chr18.tRNA2028-GlyCCC
AC_000175.1.tRNA2101-ThrAGT	chr18.tRNA2101-ThrAGT
AC_000175.1.tRNA5121-ValCAC	chr18.tRNA5121-ValCAC
AC_000175.1.tRNA4840-IleTAT	chr18.tRNA4840-IleTAT
AC_000175.1.tRNA4634-AlaAGC	chr18.tRNA4634-AlaAGC
AC_000175.1.tRNA4522-UndetNNN	chr18.tRNA4522-UndetNNN
AC_000175.1.tRNA4489-SeCTCA	chr18.tRNA4489-SeCTCA
AC_000175.1.tRNA4434-AlaAGC	chr18.tRNA4434-AlaAGC
AC_000175.1.tRNA2989-GluTTC	chr18.tRNA2989-GluTTC
AC_000175.1.tRNA4352-iMetCAT	chr18.tRNA4352-iMetCAT
AC_000175.1.tRNA4215-GluTTC	chr18.tRNA4215-GluTTC
AC_000175.1.tRNA3136-LysTTT	chr18.tRNA3136-LysTTT
AC_000176.1.tRNA7195-LysTTT	chr19.tRNA7195-LysTTT
AC_000176.1.tRNA867-LysCTT	chr19.tRNA867-LysCTT
AC_000176.1.tRNA7131-GlnTTG	chr19.tRNA7131-GlnTTG
AC_000176.1.tRNA7077-ThrCGT	chr19.tRNA7077-ThrCGT
AC_000176.1.tRNA7023-ArgCCT	chr19.tRNA7023-ArgCCT
AC_000176.1.tRNA1282-GluTTC	chr19.tRNA1282-GluTTC
AC_000176.1.tRNA6675-LysTTT	chr19.tRNA6675-LysTTT
AC_000176.1.tRNA6466-UndetNNN	chr19.tRNA6466-UndetNNN
AC_000176.1.tRNA1663-LysTTT	chr19.tRNA1663-LysTTT
AC_000176.1.tRNA1664-GlnCTG	chr19.tRNA1664-GlnCTG
AC_000176.1.tRNA6330-LeuTAG	chr19.tRNA6330-LeuTAG
AC_000176.1.tRNA1665-ArgTCT	chr19.tRNA1665-ArgTCT
AC_000176.1.tRNA1666-GlyGCC	chr19.tRNA1666-GlyGCC
AC_000176.1.tRNA6329-SerCGA	chr19.tRNA6329-SerCGA
AC_000176.1.tRNA6328-ThrAGT	chr19.tRNA6328-ThrAGT
AC_000176.1.tRNA1668-TrpCCA	chr19.tRNA1668-TrpCCA
AC_000176.1.tRNA1669-SerGCT	chr19.tRNA1669-SerGCT
AC_000176.1.tRNA1670-ThrAGT	chr19.tRNA1670-ThrAGT
AC_000176.1.tRNA1671-IleAAT	chr19.tRNA1671-IleAAT
AC_000176.1.tRNA6323-TrpCCA	chr19.tRNA6323-TrpCCA
AC_000176.1.tRNA1673-GlyTCC	chr19.tRNA1673-GlyTCC
AC_000176.1.tRNA6322-AspGTC	chr19.tRNA6322-AspGTC
AC_000176.1.tRNA6321-ProCGG	chr19.tRNA6321-ProCGG
AC_000176.1.tRNA6320-ThrAGT	chr19.tRNA6320-ThrAGT
AC_000176.1.tRNA6319-SerAGA	chr19.tRNA6319-SerAGA
AC_000176.1.tRNA6318-IleAAT	chr19.tRNA6318-IleAAT
AC_000176.1.tRNA2065-TrpCCA	chr19.tRNA2065-TrpCCA
AC_000176.1.tRNA5851-TrpCCA	chr19.tRNA5851-TrpCCA
AC_000176.1.tRNA5726-GlnTTG	chr19.tRNA5726-GlnTTG
AC_000176.1.tRNA5637-AsnGTT	chr19.tRNA5637-AsnGTT
AC_000176.1.tRNA5632-CysGCA	chr19.tRNA5632-CysGCA
AC_000176.1.tRNA5628-CysGCA	chr19.tRNA5628-CysGCA
AC_000176.1.tRNA2334-CysGCA	chr19.tRNA2334-CysGCA
AC_000176.1.tRNA5627-CysGCA	chr19.tRNA5627-CysGCA
AC_000176.1.tRNA5607-CysGCA	chr19.tRNA5607-CysGCA
AC_000176.1.tRNA5606-CysGCA	chr19.tRNA5606-CysGCA
AC_000176.1.tRNA2360-TrpCCA	chr19.tRNA2360-TrpCCA
AC_000176.1.tRNA5381-GluTTC	chr19.tRNA5381-GluTTC
AC_000176.1.tRNA5111-AspGTC	chr19.tRNA5111-AspGTC
AC_000176.1.tRNA3048-ArgCCG	chr19.tRNA3048-ArgCCG
AC_000176.1.tRNA4881-SerAGA	chr19.tRNA4881-SerAGA
AC_000176.1.tRNA3116-iMetCAT	chr19.tRNA3116-iMetCAT
AC_000176.1.tRNA3117-GlnTTG	chr19.tRNA3117-GlnTTG
AC_000176.1.tRNA4468-AlaAGC	chr19.tRNA4468-AlaAGC
AC_000176.1.tRNA4424-ArgCCT	chr19.tRNA4424-ArgCCT
AC_000176.1.tRNA3502-ArgTCG	chr19.tRNA3502-ArgTCG
AC_000176.1.tRNA3503-ArgCCT	chr19.tRNA3503-ArgCCT
AC_000176.1.tRNA4423-ArgCCT	chr19.tRNA4423-ArgCCT
AC_000159.1.tRNA15-GluCTC	chr2.tRNA15-GluCTC
AC_000159.1.tRNA12823-GluTTC	chr2.tRNA12823-GluTTC
AC_000159.1.tRNA880-AlaTGC	chr2.tRNA880-AlaTGC
AC_000159.1.tRNA11760-ArgTCT	chr2.tRNA11760-ArgTCT
AC_000159.1.tRNA11405-LeuCAA	chr2.tRNA11405-LeuCAA
AC_000159.1.tRNA1658-GlyGCC	chr2.tRNA1658-GlyGCC
AC_000159.1.tRNA11193-AlaCGC	chr2.tRNA11193-AlaCGC
AC_000159.1.tRNA10433-ArgCCT	chr2.tRNA10433-ArgCCT
AC_000159.1.tRNA4410-SerGGA	chr2.tRNA4410-SerGGA
AC_000159.1.tRNA5253-UndetNNN	chr2.tRNA5253-UndetNNN
AC_000159.1.tRNA5684-GluTTC	chr2.tRNA5684-GluTTC
AC_000159.1.tRNA6949-GluTTC	chr2.tRNA6949-GluTTC
AC_000159.1.tRNA6936-SupCTA	chr2.tRNA6936-SupCTA
AC_000159.1.tRNA6823-ValCAC	chr2.tRNA6823-ValCAC
AC_000159.1.tRNA6326-SupTCA	chr2.tRNA6326-SupTCA
AC_000177.1.tRNA6869-ArgTCG	chr20.tRNA6869-ArgTCG
AC_000177.1.tRNA475-LysTTT	chr20.tRNA475-LysTTT
AC_000177.1.tRNA1555-TyrGTA	chr20.tRNA1555-TyrGTA
AC_000177.1.tRNA5589-GluCTC	chr20.tRNA5589-GluCTC
AC_000177.1.tRNA2364-PheAAA	chr20.tRNA2364-PheAAA
AC_000177.1.tRNA4623-SerGCT	chr20.tRNA4623-SerGCT
AC_000177.1.tRNA2845-GlyCCC	chr20.tRNA2845-GlyCCC
AC_000177.1.tRNA3111-ValTAC	chr20.tRNA3111-ValTAC
AC_000178.1.tRNA7116-GluTTC	chr21.tRNA7116-GluTTC
AC_000178.1.tRNA640-ArgCCT	chr21.tRNA640-ArgCCT
AC_000178.1.tRNA6255-UndetNNN	chr21.tRNA6255-UndetNNN
AC_000178.1.tRNA1009-ArgTCG	chr21.tRNA1009-ArgTCG
AC_000178.1.tRNA6162-GlyCCC	chr21.tRNA6162-GlyCCC
AC_000178.1.tRNA6056-GlyCCC	chr21.tRNA6056-GlyCCC
AC_000178.1.tRNA5540-LysCTT	chr21.tRNA5540-LysCTT
AC_000178.1.tRNA4901-TyrGTA	chr21.tRNA4901-TyrGTA
AC_000178.1.tRNA2383-TyrGTA	chr21.tRNA2383-TyrGTA
AC_000178.1.tRNA2384-TyrGTA	chr21.tRNA2384-TyrGTA
AC_000178.1.tRNA4481-SupTCA	chr21.tRNA4481-SupTCA
AC_000178.1.tRNA4364-SerGGA	chr21.tRNA4364-SerGGA
AC_000178.1.tRNA4348-LysTTT	chr21.tRNA4348-LysTTT
AC_000178.1.tRNA4201-GlyGCC	chr21.tRNA4201-GlyGCC
AC_000178.1.tRNA3562-AlaAGC	chr21.tRNA3562-AlaAGC
AC_000178.1.tRNA3570-IleAAT	chr21.tRNA3570-IleAAT
AC_000179.1.tRNA5363-SupCTA	chr22.tRNA5363-SupCTA
AC_000179.1.tRNA4617-GlyCCC	chr22.tRNA4617-GlyCCC
AC_000179.1.tRNA2065-TrpCCA	chr22.tRNA2065-TrpCCA
AC_000179.1.tRNA2150-GlyTCC	chr22.tRNA2150-GlyTCC
AC_000179.1.tRNA2260-GluTTC	chr22.tRNA2260-GluTTC
AC_000179.1.tRNA2438-ArgACG	chr22.tRNA2438-ArgACG
AC_000180.1.tRNA5705-GlyCCC	chr23.tRNA5705-GlyCCC
AC_000180.1.tRNA5071-ArgCCT	chr23.tRNA5071-ArgCCT
AC_000180.1.tRNA5068-IleTAT	chr23.tRNA5068-IleTAT
AC_000180.1.tRNA816-TrpCCA	chr23.tRNA816-TrpCCA
AC_000180.1.tRNA869-SupTCA	chr23.tRNA869-SupTCA
AC_000180.1.tRNA4886-GluTTC	chr23.tRNA4886-GluTTC
AC_000180.1.tRNA931-AlaTGC	chr23.tRNA931-AlaTGC
AC_000180.1.tRNA4765-GluTTC	chr23.tRNA4765-GluTTC
AC_000180.1.tRNA1560-SerCGA	chr23.tRNA1560-SerCGA
AC_000180.1.tRNA4208-LeuAAG	chr23.tRNA4208-LeuAAG
AC_000180.1.tRNA4207-GluCTC	chr23.tRNA4207-GluCTC
AC_000180.1.tRNA1613-PheGAA	chr23.tRNA1613-PheGAA
AC_000180.1.tRNA1614-MetCAT	chr23.tRNA1614-MetCAT
AC_000180.1.tRNA4206-LysTTT	chr23.tRNA4206-LysTTT
AC_000180.1.tRNA4205-MetCAT	chr23.tRNA4205-MetCAT
AC_000180.1.tRNA1615-LeuAAG	chr23.tRNA1615-LeuAAG
AC_000180.1.tRNA1616-GlnCTG	chr23.tRNA1616-GlnCTG
AC_000180.1.tRNA4204-LeuCAA	chr23.tRNA4204-LeuCAA
AC_000180.1.tRNA1618-LeuCAA	chr23.tRNA1618-LeuCAA
AC_000180.1.tRNA4202-ArgCCG	chr23.tRNA4202-ArgCCG
AC_000180.1.tRNA1619-AlaAGC	chr23.tRNA1619-AlaAGC
AC_000180.1.tRNA1620-AlaAGC	chr23.tRNA1620-AlaAGC
AC_000180.1.tRNA1621-AlaCGC	chr23.tRNA1621-AlaCGC
AC_000180.1.tRNA1622-PheGAA	chr23.tRNA1622-PheGAA
AC_000180.1.tRNA1623-AlaTGC	chr23.tRNA1623-AlaTGC
AC_000180.1.tRNA4200-LysTTT	chr23.tRNA4200-LysTTT
AC_000180.1.tRNA1624-ArgCCG	chr23.tRNA1624-ArgCCG
AC_000180.1.tRNA1625-ArgCCG	chr23.tRNA1625-ArgCCG
AC_000180.1.tRNA1626-AlaAGC	chr23.tRNA1626-AlaAGC
AC_000180.1.tRNA4198-AlaCGC	chr23.tRNA4198-AlaCGC
AC_000180.1.tRNA4197-AlaTGC	chr23.tRNA4197-AlaTGC
AC_000180.1.tRNA1627-PheGAA	chr23.tRNA1627-PheGAA
AC_000180.1.tRNA4196-ThrAGT	chr23.tRNA4196-ThrAGT
AC_000180.1.tRNA1629-LeuAAG	chr23.tRNA1629-LeuAAG
AC_000180.1.tRNA4194-AlaAGC	chr23.tRNA4194-AlaAGC
AC_000180.1.tRNA4193-PheGAA	chr23.tRNA4193-PheGAA
AC_000180.1.tRNA4191-AlaAGC	chr23.tRNA4191-AlaAGC
AC_000180.1.tRNA1630-AlaAGC	chr23.tRNA1630-AlaAGC
AC_000180.1.tRNA1631-PheGAA	chr23.tRNA1631-PheGAA
AC_000180.1.tRNA1632-AlaAGC	chr23.tRNA1632-AlaAGC
AC_000180.1.tRNA1633-AlaCGC	chr23.tRNA1633-AlaCGC
AC_000180.1.tRNA1634-LysTTT	chr23.tRNA1634-LysTTT
AC_000180.1.tRNA1635-AlaCGC	chr23.tRNA1635-AlaCGC
AC_000180.1.tRNA1636-AlaAGC	chr23.tRNA1636-AlaAGC
AC_000180.1.tRNA1637-ThrCGT	chr23.tRNA1637-ThrCGT
AC_000180.1.tRNA4189-AlaTGC	chr23.tRNA4189-AlaTGC
AC_000180.1.tRNA1638-AlaTGC	chr23.tRNA1638-AlaTGC
AC_000180.1.tRNA4188-AlaAGC	chr23.tRNA4188-AlaAGC
AC_000180.1.tRNA1639-SerGCT	chr23.tRNA1639-SerGCT
AC_000180.1.tRNA4187-GlnTTG	chr23.tRNA4187-GlnTTG
AC_000180.1.tRNA4185-LysTTT	chr23.tRNA4185-LysTTT
AC_000180.1.tRNA4172-SerGCT	chr23.tRNA4172-SerGCT
AC_000180.1.tRNA1660-GlyGCC	chr23.tRNA1660-GlyGCC
AC_000180.1.tRNA1661-iMetCAT	chr23.tRNA1661-iMetCAT
AC_000180.1.tRNA4141-MetCAT	chr23.tRNA4141-MetCAT
AC_000180.1.tRNA1663-GlnTTG	chr23.tRNA1663-GlnTTG
AC_000180.1.tRNA1664-GlnCTG	chr23.tRNA1664-GlnCTG
AC_000180.1.tRNA4140-iMetCAT	chr23.tRNA4140-iMetCAT
AC_000180.1.tRNA4139-ValAAC	chr23.tRNA4139-ValAAC
AC_000180.1.tRNA4138-ThrAGT	chr23.tRNA4138-ThrAGT
AC_000180.1.tRNA1665-AlaAGC	chr23.tRNA1665-AlaAGC
AC_000180.1.tRNA1666-LeuTAA	chr23.tRNA1666-LeuTAA
AC_000180.1.tRNA4137-IleAAT	chr23.tRNA4137-IleAAT
AC_000180.1.tRNA4136-IleAAT	chr23.tRNA4136-IleAAT
AC_000180.1.tRNA1667-ThrAGT	chr23.tRNA1667-ThrAGT
AC_000180.1.tRNA1668-ValAAC	chr23.tRNA1668-ValAAC
