tRNA	Mouse_Brain_M4_plusAlkB	Mouse_Brain_M5_plusAlkB	Mouse_Brain_M6_plusAlkB	x	x	x	M_dm_Liver_M4_plusAlkB	M_dm_Liver_M5_plusAlkB	M_dm_Liver_M6_plusAlkB
tRNA-Ala-TGC-8_fiveprime	46.66593756	37.03462488	33.33781128	x	x	x	589.4950941	162.541626	261.8270356
tRNA-Ala-TGC-8_threeprime	15.09780333	14.81384995	11.11260376	x	x	x	171.143737	32.21545741	41.67599231
tRNA-Ala-TGC-8_other	1.372527575	0	0.793757411	x	x	x	6.338656926	2.562593203	0.954412038
tRNA-Arg-ACG-1_wholecounts	1994.282567	2637.359087	2705.919016	x	x	x	3676.421017	7091.427562	8937.11432
tRNA-Arg-ACG-1_fiveprime	98.13572164	126.9053146	161.9265119	x	x	x	2389.673661	858.8348078	1100.118942
tRNA-Arg-ACG-1_threeprime	660.1857637	761.9256826	980.2904032	x	x	x	2655.897252	3195.187639	2668.854194
tRNA-Arg-ACG-1_other	7.548901664	4.444154986	11.90636117	x	x	x	95.07985389	35.5102201	33.08628397
tRNA-Arg-ACG-2_wholecounts	209.3104552	269.6120692	277.0213366	x	x	x	1001.507794	1645.917006	2179.558956
tRNA-Arg-ACG-2_fiveprime	76.86154422	114.0666446	158.7514823	x	x	x	2345.303063	867.2547569	1111.571886
tRNA-Arg-ACG-2_threeprime	78.23407179	85.42653473	126.2074284	x	x	x	690.9136049	621.9779789	593.9624247
tRNA-Arg-ACG-2_other	2.745055151	3.456564989	6.350059292	x	x	x	69.72522619	24.89376254	20.36079013
tRNA-Arg-ACG-3_wholecounts	1518.701762	2484.776432	1989.156073	x	x	x	5387.858387	9531.382376	13426.35041
tRNA-Arg-ACG-3_fiveprime	123.5274818	159.0019895	196.851838	x	x	x	2611.526653	1244.322042	1525.150436
tRNA-Arg-ACG-3_threeprime	332.1516732	479.9687385	585.7929697	x	x	x	1996.676932	2100.960342	1860.149061
tRNA-Arg-ACG-3_other	15.78406712	9.875899969	18.25642046	x	x	x	114.0958247	80.53864353	54.08334879
tRNA-Arg-CCG-1_wholecounts	1375.272631	1651.250475	1533.539319	x	x	x	4475.09179	9358.956462	8984.834922
tRNA-Arg-CCG-1_fiveprime	104.9983595	78.01960975	96.04464679	x	x	x	361.3034448	360.9595569	351.8599045
tRNA-Arg-CCG-1_threeprime	865.3786363	989.5651769	1230.323988	x	x	x	4075.756403	2547.949813	2477.653649
tRNA-Arg-CCG-1_other	15.09780333	11.85107996	23.01896493	x	x	x	190.1597078	97.37854172	60.76423306
tRNA-Arg-CCG-2_wholecounts	1169.393494	1593.970255	1108.085346	x	x	x	1800.178567	3585.067891	3438.746571
tRNA-Arg-CCG-2_fiveprime	70.68517013	71.60027477	74.61319668	x	x	x	354.9647879	379.9959635	348.6785311
tRNA-Arg-CCG-2_threeprime	535.9720182	592.5539981	708.8253684	x	x	x	1045.878393	824.7889266	715.4908908
tRNA-Arg-CCG-2_other	8.235165452	0.987589997	4.762544469	x	x	x	120.4344816	48.32318612	32.76814662
tRNA-Arg-CCG-3_wholecounts	4340.618457	4164.173222	4573.630205	x	x	x	773.316145	1254.9385	1463.749928
tRNA-Arg-CCG-3_fiveprime	100.194513	105.1783347	123.8261562	x	x	x	215.5143355	155.5860159	174.0211282
tRNA-Arg-CCG-3_threeprime	1893.40179	1912.468029	2264.589895	x	x	x	3067.909952	2599.933847	2370.441364
tRNA-Arg-CCG-3_other	61.0774771	51.84847484	34.13156869	x	x	x	304.2555324	204.2752868	167.9765186
tRNA-Arg-CCT-1_wholecounts	341.0731025	356.0261939	346.0782314	x	x	x	862.0573419	1310.583381	1661.631357
tRNA-Arg-CCT-1_fiveprime	23.33296878	39.00980488	57.94429104	x	x	x	475.3992694	383.656811	524.6084833
tRNA-Arg-CCT-1_threeprime	199.0164984	228.1332893	328.6155683	x	x	x	2294.593807	1788.323971	1873.828967
tRNA-Arg-CCT-1_other	4.117582726	3.950359988	3.968787057	x	x	x	101.4185108	81.27081301	74.44413893
tRNA-Arg-CCT-2_wholecounts	133.8214386	145.6695245	207.9644418	x	x	x	342.287474	434.5425903	549.1050589
tRNA-Arg-CCT-2_fiveprime	23.33296878	39.00980488	57.94429104	x	x	x	475.3992694	383.656811	524.6084833
tRNA-Arg-CCT-2_threeprime	67.94011498	57.77401482	108.7447654	x	x	x	747.9615173	451.0164037	446.9829709
tRNA-Arg-CCT-2_other	4.117582726	3.950359988	3.968787057	x	x	x	101.4185108	81.27081301	74.44413893
tRNA-Arg-CCT-3_wholecounts	181.1736399	223.6891343	225.4271049	x	x	x	101.4185108	200.2483546	244.0113443
tRNA-Arg-CCT-3_fiveprime	58.33242195	82.46376474	112.7135524	x	x	x	272.5622478	178.6493547	189.9279955
tRNA-Arg-CCT-3_threeprime	157.1544074	153.5702445	209.5519566	x	x	x	367.6421017	230.6333883	238.6030094
tRNA-Arg-CCT-3_other	17.15659469	13.33246496	22.22520752	x	x	x	126.7731385	93.71769428	85.57894603
tRNA-Arg-CCT-4_wholecounts	1273.019326	1653.71945	1799.448052	x	x	x	697.2522619	1015.519078	1206.694953
tRNA-Arg-CCT-4_fiveprime	87.15550103	97.77140969	145.2576063	x	x	x	684.574948	497.5091661	604.1428198
tRNA-Arg-CCT-4_threeprime	464.6005843	605.8864631	796.9324411	x	x	x	1109.264962	804.6542658	777.5276733
tRNA-Arg-CCT-4_other	17.15659469	13.33246496	22.22520752	x	x	x	126.7731385	94.44986377	86.21522073
tRNA-Arg-TCG-1_wholecounts	4730.416288	5942.822806	3772.728977	x	x	x	3055.232638	5022.316593	8079.097898
tRNA-Arg-TCG-1_fiveprime	162.6445177	146.6571145	196.851838	x	x	x	1102.926305	935.3465191	947.7311533
tRNA-Arg-TCG-1_threeprime	1420.56604	1985.549689	2011.381281	x	x	x	2801.686361	1989.67058	1924.412805
tRNA-Arg-TCG-1_other	5.490110301	3.456564989	7.937574115	x	x	x	253.546277	100.3072197	61.7186451
tRNA-Arg-TCG-2_wholecounts	1859.088601	2093.690793	1304.937184	x	x	x	1394.504524	2303.405205	4393.476746
tRNA-Arg-TCG-2_fiveprime	232.643424	252.3292442	304.802846	x	x	x	532.4471818	374.8707771	365.8579477
tRNA-Arg-TCG-2_threeprime	643.7154328	792.0471775	939.8087752	x	x	x	4354.657308	2331.227645	2285.180555
tRNA-Arg-TCG-2_other	17.84285848	12.34487496	18.25642046	x	x	x	367.6421017	137.2817787	84.30639665
tRNA-Arg-TCG-3_wholecounts	1997.713886	2658.098477	1861.36113	x	x	x	709.9295757	1302.163432	1664.176456
tRNA-Arg-TCG-3_fiveprime	232.643424	270.1058642	292.1027274	x	x	x	431.028671	284.4478455	284.7329245
tRNA-Arg-TCG-3_threeprime	805.6736867	991.0465619	1027.12209	x	x	x	1064.894364	771.7066389	830.0203353
tRNA-Arg-TCG-3_other	14.41153954	12.34487496	21.43145011	x	x	x	399.3353863	144.2373889	85.57894603
tRNA-Arg-TCG-4_wholecounts	788.517092	925.8656221	841.3828562	x	x	x	2649.558595	4934.82234	6440.054292
tRNA-Arg-TCG-4_fiveprime	30.19560666	43.94775486	46.83168728	x	x	x	557.8018095	282.9835066	271.0530187
tRNA-Arg-TCG-4_threeprime	322.5439802	411.3312337	466.7293579	x	x	x	2674.913223	2010.53741	2107.978054
tRNA-Arg-TCG-4_other	13.03901197	5.925539981	15.08139082	x	x	x	412.0127002	124.8348975	69.67207874
tRNA-Arg-TCT-1_wholecounts	821.4577538	952.530552	823.1264357	x	x	x	2345.303063	4006.797515	3949.038874
tRNA-Arg-TCT-1_fiveprime	114.6060525	120.9797746	191.2955362	x	x	x	1356.472582	1597.959904	1361.62784
tRNA-Arg-TCT-1_threeprime	455.679155	404.9118987	540.5487972	x	x	x	2953.814127	2931.606624	2794.836583
tRNA-Arg-TCT-1_other	2.745055151	2.468974992	1.587514823	x	x	x	95.07985389	31.48328792	15.58872995
tRNA-Arg-TCT-2_wholecounts	131.7626472	206.9001043	213.5207437	x	x	x	602.172408	1327.057194	1218.784172
tRNA-Arg-TCT-2_fiveprime	149.6055057	180.2351744	247.6523124	x	x	x	741.6228603	814.5385538	748.5771748
tRNA-Arg-TCT-2_threeprime	65.19505983	57.28021982	76.2007115	x	x	x	595.833751	632.2283517	495.3398475
tRNA-Arg-TCT-2_other	4.117582726	2.468974992	3.175029646	x	x	x	101.4185108	19.76857614	13.04363118
tRNA-Arg-TCT-3_wholecounts	568.91268	718.4717227	583.4116974	x	x	x	881.0733127	1884.970343	1656.54116
tRNA-Arg-TCT-3_fiveprime	157.1544074	184.1855344	258.7649161	x	x	x	741.6228603	831.378452	754.303647
tRNA-Arg-TCT-3_threeprime	318.4263975	340.2247539	415.1351262	x	x	x	1299.42467	1151.336518	1019.312056
tRNA-Arg-TCT-3_other	4.117582726	3.456564989	6.350059292	x	x	x	95.07985389	23.42942357	13.67990587
tRNA-Arg-TCT-4_wholecounts	93.33187512	173.3220445	112.7135524	x	x	x	0	0	0
tRNA-Arg-TCT-4_fiveprime	0.686263788	0	0.793757411	x	x	x	0	1.464338973	0.318137346
tRNA-Arg-TCT-4_threeprime	91.95934755	116.0418246	109.5385228	x	x	x	0	0	0
tRNA-Arg-TCT-4_other	0	2.468974992	0	x	x	x	0	0	0.636274692
tRNA-Arg-TCT-5_wholecounts	58.33242195	109.6224897	76.99446891	x	x	x	69.72522619	132.5226771	104.6671868
tRNA-Arg-TCT-5_fiveprime	72.05769771	100.2403847	112.7135524	x	x	x	583.1564372	501.1700136	443.4834601
tRNA-Arg-TCT-5_threeprime	28.13681529	47.89811485	34.13156869	x	x	x	114.0958247	98.84288069	76.03482566
tRNA-Arg-TCT-5_other	0.686263788	1.975179994	1.587514823	x	x	x	88.74119696	10.61645756	7.317158955
tRNA-Asn-GTT-1_wholecounts	15.78406712	27.15872491	43.65665763	x	x	x	177.4823939	200.6144393	246.556443
tRNA-Asn-GTT-1_fiveprime	1.372527575	3.456564989	5.55630188	x	x	x	82.40254004	53.44837252	68.7176667
tRNA-Asn-GTT-1_threeprime	85.09670967	107.6473097	165.895299	x	x	x	1990.338275	1514.858668	2050.713331
tRNA-Asn-GTT-1_other	54.90110301	61.23057981	73.81943927	x	x	x	1312.101984	520.2064202	688.4492164
tRNA-Asn-GTT-2_wholecounts	0	1.975179994	1.587514823	x	x	x	6.338656926	3.29476269	5.726472225
tRNA-Asn-GTT-2_fiveprime	0	0	0.793757411	x	x	x	0	2.562593203	1.908824075
tRNA-Asn-GTT-2_threeprime	13.03901197	8.394514974	6.350059292	x	x	x	171.143737	72.11869443	80.80688585
tRNA-Asn-GTT-2_other	28.82307908	37.52841988	52.38798916	x	x	x	1128.280933	622.3440636	659.1805806
tRNA-Asn-GTT-3_wholecounts	145.487923	199.9869744	205.5831696	x	x	x	805.0094296	1191.239755	1478.066109
tRNA-Asn-GTT-3_fiveprime	29.50934287	21.23318493	48.4192021	x	x	x	240.8689632	215.6239138	302.8667533
tRNA-Asn-GTT-3_threeprime	1846.049589	2295.652948	2789.263544	x	x	x	19833.65752	15173.48044	17590.76826
tRNA-Asn-GTT-3_other	103.6258319	131.3494696	180.1829324	x	x	x	3010.86204	1624.684091	2007.446652
tRNA-Asn-GTT-4_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Asn-GTT-4_fiveprime	0	0	0	x	x	x	0	0	0
tRNA-Asn-GTT-4_threeprime	0	0	0	x	x	x	0	0.366084743	0
tRNA-Asn-GTT-4_other	2.058791363	0.493794998	0.793757411	x	x	x	25.3546277	14.27730499	9.862257721
tRNA-Asp-GTC-1_wholecounts	22518.37366	26266.43735	24667.59908	x	x	x	10585.55707	17464.80485	22722.95993
tRNA-Asp-GTC-1_fiveprime	1793.893541	1606.808925	2255.064806	x	x	x	16778.42488	13746.11603	10759.40504
tRNA-Asp-GTC-1_threeprime	11727.56187	11606.15764	13458.95067	x	x	x	17209.45355	15584.59361	12132.48582
tRNA-Asp-GTC-1_other	111.1747336	148.6322945	151.6076656	x	x	x	760.6388311	442.9625394	307.6388134
tRNA-Asp-GTC-2_wholecounts	4327.579445	4979.922559	4044.194011	x	x	x	1863.565136	3108.79164	3887.320229
tRNA-Asp-GTC-2_fiveprime	429.6011311	429.1078537	459.5855412	x	x	x	3739.807586	3653.525738	3090.06804
tRNA-Asp-GTC-2_threeprime	2318.885339	2360.833888	2599.555523	x	x	x	2858.734274	2307.798222	2026.534893
tRNA-Asp-GTC-2_other	24.70549636	28.14631491	34.13156869	x	x	x	266.2235909	121.9062195	76.9892377
tRNA-Asp-GTC-3_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Asp-GTC-3_fiveprime	21.96044121	19.25800494	41.2753854	x	x	x	348.6261309	123.0044737	129.1637624
tRNA-Asp-GTC-3_threeprime	0	0	0	x	x	x	6.338656926	2.562593203	2.863236113
tRNA-Asp-GTC-3_other	2.058791363	0	0	x	x	x	0	0.732169487	0
tRNA-Asp-GTC-4_wholecounts	3.431318938	4.937949984	0.793757411	x	x	x	0	2.19650846	1.590686729
tRNA-Asp-GTC-4_fiveprime	498.2275099	376.7655838	792.1698966	x	x	x	15250.80856	12590.75258	9276.24873
tRNA-Asp-GTC-4_threeprime	7.548901664	9.875899969	11.90636117	x	x	x	25.3546277	16.47381345	9.862257721
tRNA-Asp-GTC-4_other	6.862637877	5.431744983	16.66890564	x	x	x	437.3673279	213.0613206	107.5304229
tRNA-Cys-GCA-1_wholecounts	48.03846514	88.88309972	69.0568948	x	x	x	38.03194156	173.8902531	158.7505356
tRNA-Cys-GCA-1_fiveprime	144.8016592	149.6198845	180.1829324	x	x	x	1343.795268	841.2627401	673.4967612
tRNA-Cys-GCA-1_threeprime	46.66593756	80.98237975	103.1884635	x	x	x	183.8210509	155.2199312	158.1142609
tRNA-Cys-GCA-1_other	26.76428772	20.24559494	36.51284093	x	x	x	602.172408	261.7505915	223.0142794
tRNA-Cys-GCA-10_wholecounts	0	0.493794998	0.793757411	x	x	x	0	0	0
tRNA-Cys-GCA-10_fiveprime	3.431318938	8.888309972	9.525088938	x	x	x	31.69328463	8.786033839	12.08921914
tRNA-Cys-GCA-10_threeprime	1.372527575	1.481384995	0	x	x	x	0	1.464338973	1.272549383
tRNA-Cys-GCA-10_other	16.4703309	13.33246496	20.6376927	x	x	x	354.9647879	148.6304058	114.5294445
tRNA-Cys-GCA-11_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Cys-GCA-11_fiveprime	0	0	0	x	x	x	0	0.366084743	0.318137346
tRNA-Cys-GCA-11_threeprime	22.64670499	23.20836493	39.68787057	x	x	x	107.7571677	50.88577932	61.0823704
tRNA-Cys-GCA-11_other	0	0.987589997	0	x	x	x	19.01597078	0	0.954412038
tRNA-Cys-GCA-12_wholecounts	0.686263788	0	0	x	x	x	0	0	0
tRNA-Cys-GCA-12_fiveprime	0	0.493794998	3.968787057	x	x	x	6.338656926	7.321694866	6.362746917
tRNA-Cys-GCA-12_threeprime	0	1.975179994	4.762544469	x	x	x	6.338656926	1.464338973	2.545098767
tRNA-Cys-GCA-12_other	4.117582726	2.468974992	8.731331526	x	x	x	291.5782186	107.2628298	89.71473153
tRNA-Cys-GCA-13_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Cys-GCA-13_fiveprime	0	0	0	x	x	x	0	2.562593203	1.272549383
tRNA-Cys-GCA-13_threeprime	30.88187045	20.73938993	24.60647976	x	x	x	95.07985389	24.5276778	35.31324539
tRNA-Cys-GCA-13_other	1.372527575	0.493794998	3.175029646	x	x	x	247.2076201	86.02991467	72.53531485
tRNA-Cys-GCA-14_wholecounts	0	0.493794998	0.793757411	x	x	x	0	0	0
tRNA-Cys-GCA-14_fiveprime	0	0.493794998	3.175029646	x	x	x	12.67731385	7.321694866	6.680884263
tRNA-Cys-GCA-14_threeprime	2.058791363	0.493794998	2.381272234	x	x	x	6.338656926	1.09825423	2.863236113
tRNA-Cys-GCA-14_other	4.117582726	1.481384995	8.731331526	x	x	x	291.5782186	108.361084	88.76031949
tRNA-Cys-GCA-15_wholecounts	0	0	0	x	x	x	0	0	0
tRNA-Cys-GCA-15_fiveprime	2.058791363	0	0.793757411	x	x	x	12.67731385	8.053864353	6.999021609
tRNA-Cys-GCA-15_threeprime	0	0	0	x	x	x	6.338656926	0	1.272549383
tRNA-Cys-GCA-15_other	1.372527575	0.987589997	5.55630188	x	x	x	247.2076201	85.66382993	76.03482566
tRNA-Cys-GCA-16_wholecounts	1.372527575	0.987589997	1.587514823	x	x	x	0	0	0
tRNA-Cys-GCA-16_fiveprime	0	0	0	x	x	x	12.67731385	0.366084743	0.318137346
tRNA-Cys-GCA-16_threeprime	45.97967377	73.08165977	102.3947061	x	x	x	164.8050801	113.4862704	128.2093504
tRNA-Cys-GCA-16_other	16.4703309	13.33246496	20.6376927	x	x	x	367.6421017	148.6304058	114.8475819
