intervalname	First tRNA	Second tRNA	mismatches
mergedinterval365	tRNA-Glu-CTC-1-6	tRNA-Glu-CTC-1-3	0
mergedinterval365	tRNA-Thr-AGT-3-1	tRNA-Thr-AGT-5-1	3
mergedinterval365	tRNA-Ala-TGC-7-1	tRNA-Ala-TGC-10-1	3
mergedinterval365	tRNA-Ala-AGC-4-1	tRNA-Ala-AGC-8-1	0
mergedinterval365	tRNA-Leu-AAG-3-1	tRNA-Leu-TAG-2-1	2
mergedinterval365	tRNA-Ala-AGC-2-1	tRNA-Ala-AGC-3-1	0
mergedinterval365	tRNA-Thr-CGT-1-1	tRNA-Thr-CGT-4-1	1
mergedinterval365	tRNA-Phe-GAA-5-1	tRNA-Phe-GAA-3-1	5
mergedinterval365	tRNA-Ala-AGC-5-1	tRNA-Ala-AGC-4-1	1
mergedinterval365	tRNA-Gln-TTG-2-1	tRNA-Gln-TTG-2-1	0
mergedinterval365	tRNA-Ala-AGC-3-1	tRNA-Ala-AGC-5-1	0
mergedinterval365	tRNA-Ile-TAT-3-1	tRNA-Ile-TAT-4-1	1
mergedinterval365	tRNA-Ser-GCT-4-1	tRNA-Ser-GCT-3-2	0
mergedinterval365	tRNA-Ala-AGC-2-2	tRNA-Ala-AGC-3-2	0
mergedinterval365	tRNA-Ala-CGC-4-1	tRNA-Ala-CGC-2-1	0
mergedinterval365	tRNA-Ala-TGC-1-1	tRNA-Ala-TGC-5-1	3
mergedinterval365	tRNA-Lys-TTT-7-1	tRNA-Lys-TTT-7-1	7
mergedinterval365	tRNA-Phe-GAA-1-2	tRNA-Phe-GAA-1-1	0
mergedinterval365	tRNA-Ala-TGC-6-1	tRNA-Ala-TGC-2-1	4
mergedinterval365	tRNA-Phe-GAA-1-1	tRNA-Phe-GAA-2-1	1
mergedinterval365	tRNA-Phe-GAA-6-1	tRNA-Val-GAC-2-1	6
mergedinterval365	tRNA-Phe-GAA-4-1	tRNA-Ser-GGA-1-1	6
mergedinterval365	tRNA-Ala-CGC-5-1	tRNA-Ala-CGC-4-1	4
mergedinterval365	tRNA-Arg-CCG-1-2	tRNA-Arg-CCG-1-2	0
mergedinterval365	tRNA-Gln-CTG-1-3	tRNA-Gln-CTG-1-2	0
mergedinterval365	tRNA-Ala-CGC-2-1	tRNA-Ala-CGC-1-2	0
mergedinterval365	tRNA-Phe-GAA-11-1	tRNA-Phe-GAA-5-1	5
mergedinterval365	tRNA-Phe-GAA-3-1	tRNA-Val-GAC-1-1	2
mergedinterval365	tRNA-Ala-ATC-chr6-102	tRNA-Asp-ATC-1-1	3
mergedinterval365	tRNA-Arg-TCG-5-1	tRNA-Arg-TCG-5-1	0
mergedinterval365	tRNA-Thr-TGT-1-1	tRNA-Thr-TGT-2-1	1
mergedinterval365	tRNA-Leu-CAA-1-2	tRNA-Leu-CAA-2-2	6
mergedinterval365	tRNA-Thr-CGT-3-1	tRNA-Thr-CGT-3-1	0
mergedinterval365	tRNA-Ala-TGC-9-1	tRNA-Ala-TGC-9-1	14
mergedinterval365	tRNA-Ala-AGC-23-1	tRNA-Ala-AGC-19-1	7
mergedinterval365	tRNA-Leu-CAA-1-1	tRNA-Leu-CAA-2-1	6
mergedinterval365	tRNA-Ala-TGC-2-1	tRNA-Ala-TGC-8-1	2
mergedinterval365	tRNA-Leu-AAG-4-1	tRNA-Leu-AAG-4-1	3
mergedinterval365	tRNA-Ala-TGC-5-1	tRNA-Ala-TGC-4-1	0
mergedinterval386	tRNA-Leu-TAA-1-1	tRNA-Leu-TAA-1-1	0
interval398	tRNA-Trp-CCA-chr7-31	tRNA-Trp-CCA-3-1	9
